"","Candidate","Constituency..","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"905","Kabindra Purkayastha","Silchar","BJP",0,"Post Graduate",2098543,81279
"907","MADHU KORA","Singhbhum","IND",0,"Graduate",9832144,0
"909","ASHOK TANWAR","Sirsa","INC",2,"Post Graduate",23664959,0
"911","ARJUN ROY","Sitamarhi","JD(U)",0,"Doctorate",2907146,462913
"913","KAISAR JAHAN","Sitapur","BSP",0,"8th Pass",6553956,0
"915","CHIDAMBARAM P","Sivaganga","INC",0,"Post Graduate",267908542,0
"917","OmPrakashYadav","Siwan","IND",1,"Graduate",3032500,0
"919","SHINDE SUSHILKUMAR SAMBHAJIRAO","Solapur","INC",0,"Graduate Professional",86042099,3700000
"921","JITENDER SINGH","Sonipat","INC",0,"Graduate Professional",1779080,0
"923","RAMESH KUMAR","South Delhi","INC",0,"10th Pass",25845997,329812
"925","COSME FRANCISCO CAITANO SARDINHA","South Goa","INC",0,"Graduate Professional",29473470,443500
"927","KALYAN BANERJEE","Sreerampur","AITC",0,"Graduate Professional",16146266,2125000
"929","K. KRUPA RANI","Srikakulam","INC",0,"Graduate Professional",18491160,2642781
"931","FAROOQ ABDULLAH","Srinagar","JKN",0,"Graduate Professional",97841140,0
"933","BAALU T R","Sriperumbudur","DMK",0,"Graduate",76971478,0
"935","DR.SANJAY SINGH","Sultanpur","INC",0,"Doctorate",62259720,0
"937","HEMANAND BISWAL","Sundargarh","INC",0,"12th Pass",3965226,0
"939","VISHWA MOHAN KUMAR","Supaul","JD(U)",0,"Post Graduate",6689616,440179
"941","DARSNABEN VIKRAMBHAI JARDOS","Surat","BJP",1,"Graduate",9021338,395000
"943","SOMABHAI GANDABHAI KOLIPATEL","Surendranagar","INC",0,"5th Pass",18618718,0
"945","ADHIKARI SUVENDU","Tamluk","AITC",3,"Graduate",4751934,0
"947","VIJAY BAHUGUNA","Tehri Garhwal","INC",0,"Graduate Professional",13501773,0
"949","LINGAM P","Tenkasi","CPI",0,"Graduate",159365,23014
"951","JOSEPH TOPPO","Tezpur","AGP",0,"10th Pass",936292,535000
