Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
,,,,,,~ 34 Lacs+,~ 4 Lacs+,BIHAR
205,MOHAN KAMAT,AD,0,Others,45,"Rs 3,79,000",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
206,MOHAN SAW,IND,0,Post Graduate,43,"Rs 65,000",Rs 0,BIHAR
,,,,,,~ 65 Thou+,~ ,BIHAR
207,MOHD. KAMAL UDDIN,JHP,0,Others,62,"Rs 15,10,000",Rs 0,BIHAR
,,,,,,~ 15 Lacs+,~ ,BIHAR
208,MONIKA TIWARI,BED,0,Post Graduate,25,"Rs 41,000",Rs 0,BIHAR
,,,,,,~ 41 Thou+,~ ,BIHAR
209,MUBARAK HUSSAIN,SP,1,Graduate,54,"Rs 6,40,000","Rs 2,82,000",BIHAR
,,,,,,~ 6 Lacs+,~ 2 Lacs+,BIHAR
210,MUNI LALL,BJP,0,Post Graduate,65,"Rs 54,36,933","Rs 7,86,779",BIHAR
,,,,,,~ 54 Lacs+,~ 7 Lacs+,BIHAR
211,N. K. SINGH,SAP,0,Post Graduate,66,"Rs 56,13,304",Rs 0,BIHAR
,,,,,,~ 56 Lacs+,~ ,BIHAR
212,N. M. BAJORIYA,ABHM,0,Illiterate,70,"Rs 4,31,900",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
213,NAFIS AHMAD,IND,0,10th Pass,35,"Rs 60,000",Rs 0,BIHAR
,,,,,,~ 60 Thou+,~ ,BIHAR
214,NAGANDRA KUMAR VIKAL,IND,0,Post Graduate,29,"Rs 4,13,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
215,NAGARMAL BAJORIA (DHARTIPAKAR),ABHM,0,10th Pass,63,"Rs 4,36,900",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
216,NAJMUJJAMA,BSP,0,12th Pass,41,"Rs 10,000",Rs 0,BIHAR
,,,,,,~ 10 Thou+,~ ,BIHAR
217,NAND LAL PASWAN,IND,0,Literate,42,"Rs 30,000",Rs 0,BIHAR
,,,,,,~ 30 Thou+,~ ,BIHAR
218,NANDJEE RAM,IND,7,10th Pass,41,"Rs 24,282",Rs 0,BIHAR
,,,,,,~ 24 Thou+,~ ,BIHAR
219,NANDJI RAM,CPI(ML)(L),5,12th Pass,41,"Rs 17,283",Rs 0,BIHAR
,,,,,,~ 17 Thou+,~ ,BIHAR
220,NARAYAN KUMAR RAM,BSP,0,10th Pass,43,"Rs 3,55,000",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
221,NARENDRA KUMAR SINGH,IND,0,Not Given,42,"Rs 17,483",Rs 0,BIHAR
,,,,,,~ 17 Thou+,~ ,BIHAR
222,NARENDRA KUMAR SINGH,SP,0,8th Pass,45,"Rs 97,11,425","Rs 26,06,417",BIHAR
,,,,,,~ 97 Lacs+,~ 26 Lacs+,BIHAR
223,NARESH PRASAD YADAV,IND,0,Others,53,"Rs 2,51,161","Rs 10,000",BIHAR
,,,,,,~ 2 Lacs+,~ 10 Thou+,BIHAR
224,NASIM AHMAD,SP,0,Post Graduate,63,"Rs 66,50,000","Rs 10,000",BIHAR
,,,,,,~ 66 Lacs+,~ 10 Thou+,BIHAR
225,NASIR KHAN,IND,0,Graduate,52,"Rs 3,27,959","Rs 15,000",BIHAR
,,,,,,~ 3 Lacs+,~ 15 Thou+,BIHAR
226,NAUSHAD AHMAD,BSP,0,10th Pass,51,"Rs 8,56,500",Rs 0,BIHAR
,,,,,,~ 8 Lacs+,~ ,BIHAR
227,NAVAL KISHORE RAI,JD(U),1,Graduate Professional,46,"Rs 60,55,791","Rs 11,66,462",BIHAR
,,,,,,~ 60 Lacs+,~ 11 Lacs+,BIHAR
228,NAWAL KISHOR SAHI,SAP,0,Post Graduate,58,"Rs 64,500",Rs 0,BIHAR
,,,,,,~ 64 Thou+,~ ,BIHAR
229,NAWAL KISHORE SINGH,IND,0,10th Pass,49,"Rs 35,400","Rs 14,236",BIHAR
,,,,,,~ 35 Thou+,~ 14 Thou+,BIHAR
230,NEELAM DEVI,IND,0,Not Given,29,"Rs 2,14,485",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
231,NEVI LAL DAS,IND,0,Not Given,40,"Rs 77,000",Rs 0,BIHAR
,,,,,,~ 77 Thou+,~ ,BIHAR
232,NIKHIL KUMAR,INC,0,Post Graduate,63,"Rs 7,44,89,984","Rs 12,20,000",BIHAR
,,,,,,~ 7 Crore+,~ 12 Lacs+,BIHAR
233,NIKHIL KUMAR CHOUDHARY,BJP,1,Graduate,61,"Rs 45,35,938",Rs 0,BIHAR
,,,,,,~ 45 Lacs+,~ ,BIHAR
234,NIRANJAN KUMAR,CPI(ML)(L),0,Graduate,32,"Rs 2,70,000",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
235,NITISH KUMAR,JD(U),0,Graduate,52,"Rs 43,89,206","Rs 6,72,674",BIHAR
,,,,,,~ 43 Lacs+,~ 6 Lacs+,BIHAR
236,NITISH KUMAR,JD(U),0,Graduate,52,"Rs 43,18,464","Rs 6,72,674",BIHAR
,,,,,,~ 43 Lacs+,~ 6 Lacs+,BIHAR
237,NITYA NAND SINGH,SP,0,Post Graduate,39,"Rs 4,38,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
238,OM PRAKASH PASWAN,AD,0,Not Given,25,"Rs 15,000","Rs 9,000",BIHAR
,,,,,,~ 15 Thou+,~ 9 Thou+,BIHAR
239,OM PRAKASH SINHA,IND,0,Not Given,52,"Rs 27,03,000",Rs 100,BIHAR
,,,,,,~ 27 Lacs+,~ 1 Hund+,BIHAR
240,OM PRAKASH YADAV,JD(U),0,Graduate Professional,44,"Rs 9,31,000",Rs 0,BIHAR
,,,,,,~ 9 Lacs+,~ ,BIHAR
241,PANNA LAL SAHANI,IND,0,Others,54,"Rs 36,500",Rs 0,BIHAR
,,,,,,~ 36 Thou+,~ ,BIHAR
242,PARAS NATH PATHAK,SP,0,Graduate,60,"Rs 13,74,099",Rs 0,BIHAR
,,,,,,~ 13 Lacs+,~ ,BIHAR
243,PARIKSHAN PASWAN,IND,0,10th Pass,26,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
244,PARMANAND SINGH,IND,0,Not Given,33,"Rs 28,000",Rs 0,BIHAR
,,,,,,~ 28 Thou+,~ ,BIHAR
245,PASHUPATI CHAUDHARY,IND,1,Not Given,35,"Rs 17,744",Rs 0,BIHAR
,,,,,,~ 17 Thou+,~ ,BIHAR
246,PERMANAND PRASAD,CPI(ML)(L),1,8th Pass,44,"Rs 2,73,494",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
247,PHEKHU RAM,IND,0,Doctorate,40,"Rs 50,000",Rs 0,BIHAR
,,,,,,~ 50 Thou+,~ ,BIHAR
248,POLISH KUMAR DAS,IND,0,Graduate,47,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
249,PRABHU DAYAL SINGH,JD(U),1,Graduate,54,"Rs 26,07,712","Rs 1,00,281",BIHAR
,,,,,,~ 26 Lacs+,~ 1 Lacs+,BIHAR
250,PRABHUNATH SINGH,JD(U),11,12th Pass,49,"Rs 32,96,840","Rs 5,30,175",BIHAR
,,,,,,~ 32 Lacs+,~ 5 Lacs+,BIHAR
251,PRADEEP KUMAR SAH,IND,0,Graduate,39,"Rs 65,155",Rs 0,BIHAR
,,,,,,~ 65 Thou+,~ ,BIHAR
252,PRADEEP KUMAR SHARMA,IND,0,12th Pass,43,"Rs 2,67,980",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
253,PRAKASH JHA,IND,0,12th Pass,50,"Rs 2,20,02,194","Rs 86,69,788",BIHAR
,,,,,,~ 2 Crore+,~ 86 Lacs+,BIHAR
254,PRAKASH KUMAR SINGH,AD,0,Graduate,32,"Rs 63,000","Rs 5,078",BIHAR
,,,,,,~ 63 Thou+,~ 5 Thou+,BIHAR
255,PRAMOD KUMAR AKELA,IND,0,Graduate,33,"Rs 5,90,000",Rs 0,BIHAR
,,,,,,~ 5 Lacs+,~ ,BIHAR
256,PRAMOD KUMAR PATEL,SAP,0,Graduate,38,"Rs 3,05,000","Rs 20,000",BIHAR
,,,,,,~ 3 Lacs+,~ 20 Thou+,BIHAR
257,PRASANNA KUMAR,IND,0,10th Pass,56,"Rs 7,97,700",Rs 0,BIHAR
,,,,,,~ 7 Lacs+,~ ,BIHAR
258,PRAVIN KUMAR JHA,IND,0,10th Pass,30,"Rs 8,65,000",Rs 0,BIHAR
,,,,,,~ 8 Lacs+,~ ,BIHAR
259,PRAWEZ KHAN,BSP,6,10th Pass,33,"Rs 5,88,437",Rs 0,BIHAR
,,,,,,~ 5 Lacs+,~ ,BIHAR
260,PREM CHAND TIWARI,IND,0,Graduate,44,Rs 510,Rs 0,BIHAR
,,,,,,~ 5 Hund+,~ ,BIHAR
261,PREM KUMAR,SHS,0,Graduate,25,"Rs 1,31,700",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
262,PURNAMASI RAM,BSP,1,10th Pass,51,"Rs 58,49,284","Rs 14,77,481",BIHAR
,,,,,,~ 58 Lacs+,~ 14 Lacs+,BIHAR
263,PUSHPA NAND RISHIDEO,IND,0,Graduate,36,"Rs 9,45,000",Rs 0,BIHAR
,,,,,,~ 9 Lacs+,~ ,BIHAR
264,QUDDUS ALI,CPI(ML)(L),5,Post Graduate,43,"Rs 11,17,625","Rs 23,000",BIHAR
,,,,,,~ 11 Lacs+,~ 23 Thou+,BIHAR
265,RABINDRA KU. RANA,RJD,1,Graduate Professional,58,"Rs 63,36,271",Rs 0,BIHAR
,,,,,,~ 63 Lacs+,~ ,BIHAR
266,RADHA MOHAN SINGH,BJP,0,Graduate,56,"Rs 48,59,026","Rs 2,12,064",BIHAR
,,,,,,~ 48 Lacs+,~ 2 Lacs+,BIHAR
267,RADHA URAON,JDP,0,10th Pass,50,"Rs 1,34,700",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
268,RADHESHYAM AGARWAL,IND,0,10th Pass,63,"Rs 1,31,58,067",Rs 0,BIHAR
,,,,,,~ 1 Crore+,~ ,BIHAR
269,RADHEY SHYAM GUPTA ALIAS RADHE SHYAM,JHSP,0,Others,39,"Rs 5,99,000",Rs 0,BIHAR
,,,,,,~ 5 Lacs+,~ ,BIHAR
270,RAGHU NATH PRASHAD,BSP,0,10th Pass,30,"Rs 49,000","Rs 40,000",BIHAR
,,,,,,~ 49 Thou+,~ 40 Thou+,BIHAR
271,RAGHUBANSH PRASAD SINGH,RJD,0,Doctorate,57,"Rs 48,71,420","Rs 4,81,535",BIHAR
,,,,,,~ 48 Lacs+,~ 4 Lacs+,BIHAR
272,RAGHUNANDAN MOCHI,IND,0,12th Pass,39,"Rs 48,400",Rs 0,BIHAR
,,,,,,~ 48 Thou+,~ ,BIHAR
273,RAGHUNATH JHA,RJD,2,12th Pass,66,"Rs 1,12,67,189",Rs 0,BIHAR
,,,,,,~ 1 Crore+,~ ,BIHAR
274,RAHMAT ALI,IND,0,Not Given,33,"Rs 88,000",Rs 0,BIHAR
,,,,,,~ 88 Thou+,~ ,BIHAR
275,RAJ BALABH SINGH,Shoshit Samaj Dal,0,10th Pass,37,"Rs 1,80,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
276,RAJ KUMAR HEMBRAM,JDP,0,Post Graduate,27,"Rs 75,795",Rs 0,BIHAR
,,,,,,~ 75 Thou+,~ ,BIHAR
277,RAJA RAM SINGH,BSP,0,10th Pass,56,"Rs 4,90,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
278,RAJA RAM SINGH,CPI(ML)(L),1,Graduate Professional,48,"Rs 15,85,476","Rs 91,611",BIHAR
,,,,,,~ 15 Lacs+,~ 91 Thou+,BIHAR
279,RAJAN TIWARI,IND,11,8th Pass,31,"Rs 24,08,760","Rs 17,03,364",BIHAR
,,,,,,~ 24 Lacs+,~ 17 Lacs+,BIHAR
280,RAJDHAR PASWAN,SHS,0,8th Pass,39,"Rs 5,60,700","Rs 8,000",BIHAR
,,,,,,~ 5 Lacs+,~ 8 Thou+,BIHAR
281,RAJEEV PRATAP RUDY,BJP,0,Post Graduate,42,"Rs 61,75,896","Rs 11,72,932",BIHAR
,,,,,,~ 61 Lacs+,~ 11 Lacs+,BIHAR
282,RAJENDRA MAHTO,IND,0,Not Given,Unknown,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
283,RAJENDRA PANDIT NETAJEE,BSP,1,8th Pass,53,"Rs 8,60,243","Rs 8,300",BIHAR
,,,,,,~ 8 Lacs+,~ 8 Thou+,BIHAR
284,RAJENDRA PRASAD YADAV,SP,0,10th Pass,67,"Rs 16,80,000",Rs 0,BIHAR
,,,,,,~ 16 Lacs+,~ ,BIHAR
285,RAJENDRA SINGH VISMIL,SP,0,Graduate,59,"Rs 10,00,000",Rs 0,BIHAR
,,,,,,~ 10 Lacs+,~ ,BIHAR
286,RAJENDRA YADAV,IND,0,8th Pass,27,"Rs 1,40,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
287,RAJESH KUMAR,IND,0,Graduate,32,"Rs 2,78,252","Rs 1,407",BIHAR
,,,,,,~ 2 Lacs+,~ 1 Thou+,BIHAR
288,RAJESH KUMAR MANJHI,RJD,0,8th Pass,32,Nil,"Rs 26,000",BIHAR
,,,,,,,~ 26 Thou+,BIHAR
289,RAJESH RANJAN ALIAS PAPPU YADAV,LJNSP,27,12th Pass,37,"Rs 31,14,000","Rs 10,34,419",BIHAR
,,,,,,~ 31 Lacs+,~ 10 Lacs+,BIHAR
290,RAJESHWAR SINGH,AD,0,10th Pass,34,"Rs 4,00,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
291,RAJIV RANJAN SINGH,SP,0,Graduate,49,"Rs 13,32,303","Rs 1,200",BIHAR
,,,,,,~ 13 Lacs+,~ 1 Thou+,BIHAR
292,RAJIV RANJAN SINGH,JD(U),0,Graduate,50,"Rs 67,46,462",Rs 0,BIHAR
,,,,,,~ 67 Lacs+,~ ,BIHAR
293,RAJNI RANJAN SAHU,SP,0,Graduate Professional,66,"Rs 3,09,41,700","Rs 4,60,000",BIHAR
,,,,,,~ 3 Crore+,~ 4 Lacs+,BIHAR
294,RAJU KUMAR GUPTA,IND,0,8th Pass,33,"Rs 1,20,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
295,RAJU MANJHI,IND,0,10th Pass,42,Nil,"Rs 5,000",BIHAR
,,,,,,,~ 5 Thou+,BIHAR
296,RAJVANSHI MAHTO,SP,1,10th Pass,48,"Rs 45,64,160","Rs 3,64,998",BIHAR
,,,,,,~ 45 Lacs+,~ 3 Lacs+,BIHAR
297,RAM AWADESH SINGH,RLD,0,Post Graduate,65,"Rs 1,75,000","Rs 6,35,215",BIHAR
,,,,,,~ 1 Lacs+,~ 6 Lacs+,BIHAR
298,RAM BACHAN RAM,SP,0,Post Graduate,54,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
299,RAM CHANDRA PASWAN,LJNSP,0,10th Pass,43,"Rs 42,04,913",Rs 0,BIHAR
,,,,,,~ 42 Lacs+,~ ,BIHAR
300,RAM CHANDRA SINGH,JD(U),0,12th Pass,54,"Rs 1,12,27,600","Rs 25,000",BIHAR
,,,,,,~ 1 Crore+,~ 25 Thou+,BIHAR
301,RAM CHANDRA YADAV,KSVP,0,12th Pass,Unknown,"Rs 11,92,000","Rs 3,00,000",BIHAR
,,,,,,~ 11 Lacs+,~ 3 Lacs+,BIHAR
302,RAM DEO SINGH YADAV,RLD,0,Graduate,Unknown,"Rs 3,11,548","Rs 6,32,327",BIHAR
,,,,,,~ 3 Lacs+,~ 6 Lacs+,BIHAR
303,RAM EKBAL CHAUDHARI,Suheldev Bhartiya Samaj Party,0,Graduate,33,"Rs 52,800",Rs 0,BIHAR
,,,,,,~ 52 Thou+,~ ,BIHAR
304,RAM EKBAL RAI,BSP,1,Not Given,34,"Rs 2,39,000",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
305,RAM JANAM SINGH,SHS,0,12th Pass,40,"Rs 38,65,000",Rs 0,BIHAR
,,,,,,~ 38 Lacs+,~ ,BIHAR
306,RAM KISHUN SAH,AD,0,Post Graduate,59,"Rs 24,41,000",Rs 0,BIHAR
,,,,,,~ 24 Lacs+,~ ,BIHAR
307,RAM KRIPAL YADAV,RJD,0,Graduate,47,"Rs 14,00,031","Rs 2,04,942",BIHAR
,,,,,,~ 14 Lacs+,~ 2 Lacs+,BIHAR
308,RAM KUMAR SINGH,IND,0,Not Given,42,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
309,RAM KUNDAL SHARMA,BSP,0,Graduate Professional,67,"Rs 2,00,000",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
310,RAM NAGINA CHOUDHARY,IND,0,Not Given,65,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
311,RAM NARESH CHAUPAL,IND,0,Graduate,44,"Rs 75,000",Rs 0,BIHAR
,,,,,,~ 75 Thou+,~ ,BIHAR
312,RAM NARESH RAM,CPI(ML)(L),0,5th Pass,79,"Rs 44,354","Rs 23,138",BIHAR
,,,,,,~ 44 Thou+,~ 23 Thou+,BIHAR
313,RAM NARESH RAM,CPI(ML)(L),1,10th Pass,54,"Rs 1,72,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
314,RAM PRASAD SINGH,RJD,0,Graduate,66,"Rs 30,70,655",Rs 0,BIHAR
,,,,,,~ 30 Lacs+,~ ,BIHAR
315,RAM PRAWESH PRASAD,BSP,0,Graduate,48,"Rs 6,86,000",Rs 0,BIHAR
,,,,,,~ 6 Lacs+,~ ,BIHAR
316,RAM SEWAK HAZARI,LJNSP,0,10th Pass,59,"Rs 18,91,457","Rs 60,024",BIHAR
,,,,,,~ 18 Lacs+,~ 60 Thou+,BIHAR
317,RAM SINGHASAN SINGH,AD,0,10th Pass,49,"Rs 4,50,400","Rs 4,000",BIHAR
,,,,,,~ 4 Lacs+,~ 4 Thou+,BIHAR
318,RAM SUNDAR DAS,Samajwadi Janata Party (Rashtriya),0,10th Pass,67,"Rs 5,09,587","Rs 12,39,302",BIHAR
,,,,,,~ 5 Lacs+,~ 12 Lacs+,BIHAR
319,RAM SWARATH SAFI,IND,0,Not Given,30,"Rs 32,000",Rs 0,BIHAR
,,,,,,~ 32 Thou+,~ ,BIHAR
320,RAM SWARTH SAH,IND,0,Post Graduate,29,"Rs 4,31,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
321,RAM UDAR PRASAD THAKUR,IND,0,Others,50,"Rs 3,03,000",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
322,RAM VILAS PASWAN,LJNSP,0,Post Graduate,57,"Rs 83,32,433",Rs 0,BIHAR
,,,,,,~ 83 Lacs+,~ ,BIHAR
323,RAMA NAND SINHA,IND,0,Others,69,"Rs 1,00,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
324,RAMA SHANKAR RAM,IND,0,Graduate,36,"Rs 1,59,500",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
325,RAMADHAR RAJWAR,IJP,0,8th Pass,34,"Rs 1,05,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
326,RAMASHRAY PRASAD SINGH,SPVD,0,Not Given,79,"Rs 23,22,751","Rs 2,00,000",BIHAR
,,,,,,~ 23 Lacs+,~ 2 Lacs+,BIHAR
327,RAMASHRAYA RAI,IND,0,Not Given,62,"Rs 4,99,782",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
328,RAMBAHADUR SINGH,Samajwadi Janata Party (Rashtriya),0,Graduate,65,"Rs 42,26,054","Rs 57,222",BIHAR
,,,,,,~ 42 Lacs+,~ 57 Thou+,BIHAR
329,RAMBILAS PASWAN,IND,0,8th Pass,43,"Rs 47,000",Rs 0,BIHAR
,,,,,,~ 47 Thou+,~ ,BIHAR
330,RAMCHANDRA MAHTO,CPI,0,10th Pass,61,"Rs 8,11,201","Rs 19,518",BIHAR
,,,,,,~ 8 Lacs+,~ 19 Thou+,BIHAR
331,RAMCHANDRA SAHANI,CPI,1,Post Graduate,60,"Rs 11,45,500","Rs 2,31,000",BIHAR
,,,,,,~ 11 Lacs+,~ 2 Lacs+,BIHAR
332,RAMDEO SHARMA,IND,0,10th Pass,47,"Rs 33,500",Rs 0,BIHAR
,,,,,,~ 33 Thou+,~ ,BIHAR
333,RAMESHWAR KUMAR BHARTI,JP,0,Graduate,34,"Rs 3,21,000",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
334,RAMESHWAR PRASAD,IND,0,Graduate,40,"Rs 1,89,229",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
335,RAMESHWAR PRASAD GUPTA,IND,0,10th Pass,37,"Rs 17,19,000","Rs 22,000",BIHAR
,,,,,,~ 17 Lacs+,~ 22 Thou+,BIHAR
336,RAMESHWAR RAI,BSP,0,Others,62,"Rs 35,40,000",Rs 0,BIHAR
,,,,,,~ 35 Lacs+,~ ,BIHAR
337,RAMESHWAR SINGH,IND,0,Graduate,51,"Rs 9,89,000","Rs 50,000",BIHAR
,,,,,,~ 9 Lacs+,~ 50 Thou+,BIHAR
338,RAMGULAM SAHANI,SAP,0,Graduate,66,"Rs 13,32,034","Rs 50,000",BIHAR
,,,,,,~ 13 Lacs+,~ 50 Thou+,BIHAR
339,RAMJI DAS RISHIDEO,SP,0,12th Pass,46,"Rs 12,94,500","Rs 3,50,356",BIHAR
,,,,,,~ 12 Lacs+,~ 3 Lacs+,BIHAR
340,RAMJIVAN SINGH,JD(U),0,Post Graduate,73,"Rs 1,19,73,598","Rs 20,000",BIHAR
,,,,,,~ 1 Crore+,~ 20 Thou+,BIHAR
341,RAMPRIT GOD,GGP,0,Others,62,"Rs 2,01,477",Rs 0,BIHAR
,,,,,,~ 2 Lacs+,~ ,BIHAR
342,RAMPRIT THAKUR,IND,0,12th Pass,62,"Rs 3,60,807",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
343,RANA SINGH,IND,0,Not Given,37,"Rs 37,000",Rs 0,BIHAR
,,,,,,~ 37 Thou+,~ ,BIHAR
344,RANJAN PRASAD YADAV,SPVD,0,Others,55,"Rs 64,66,000",Rs 0,BIHAR
,,,,,,~ 64 Lacs+,~ ,BIHAR
345,RANJEET RANJAN,LJNSP,0,12th Pass,31,"Rs 25,49,000",Rs 0,BIHAR
,,,,,,~ 25 Lacs+,~ ,BIHAR
346,RANJIT SINGH,SP,0,Others,56,"Rs 38,64,000","Rs 3,93,866",BIHAR
,,,,,,~ 38 Lacs+,~ 3 Lacs+,BIHAR
347,RANVIR YADAV,SP,15,10th Pass,35,"Rs 2,67,277","Rs 1,00,000",BIHAR
,,,,,,~ 2 Lacs+,~ 1 Lacs+,BIHAR
348,RATNESHWAR MISHRA,IND,0,Not Given,Unknown,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
349,RAVI SHANKAR KUSHWAHA,IND,0,12th Pass,Unknown,"Rs 50,000",Rs 0,BIHAR
,,,,,,~ 50 Thou+,~ ,BIHAR
350,RENU KUMARI,JD(U),0,Post Graduate,41,"Rs 15,28,295",Rs 0,BIHAR
,,,,,,~ 15 Lacs+,~ ,BIHAR
351,RISHIJEE JANAPREMI,IND,0,Not Given,47,"Rs 4,50,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
352,SADHU SINHA,IND,0,Graduate,59,"Rs 4,45,766",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
353,SAFI AHMAD,IND,0,Graduate,58,"Rs 25,50,643","Rs 9,500",BIHAR
,,,,,,~ 25 Lacs+,~ 9 Thou+,BIHAR
354,SAIYDUL ZAFAR ANSARI,BSP,0,10th Pass,33,"Rs 1,05,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
355,SAMBHU PRASAD SINGH,IND,0,Post Graduate,58,"Rs 3,78,153","Rs 2,700",BIHAR
,,,,,,~ 3 Lacs+,~ 2 Thou+,BIHAR
356,SANATAN KUMAR SATHI,BSP,0,Graduate Professional,30,"Rs 3,35,000",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
357,SANJAY KUMAR,RLD,0,Graduate,33,Rs 600,Rs 0,BIHAR
,,,,,,~ 6 Hund+,~ ,BIHAR
358,SANJAY KUMAR,IND,0,Graduate Professional,30,"Rs 1,47,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
359,SANJAY PASWAN,BJP,0,Doctorate,43,"Rs 34,01,950","Rs 50,000",BIHAR
,,,,,,~ 34 Lacs+,~ 50 Thou+,BIHAR
360,SARBIND KUMAR,IND,0,Post Graduate,Unknown,"Rs 5,59,500",Rs 0,BIHAR
,,,,,,~ 5 Lacs+,~ ,BIHAR
361,SARJOON PASWAN,IND,0,Not Given,25,"Rs 1,85,000",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
362,SATENDRA KUMAR SINGH,IND,1,10th Pass,50,"Rs 1,81,529",Rs 0,BIHAR
,,,,,,~ 1 Lacs+,~ ,BIHAR
363,SATENDRA SINGH,IND,0,Not Given,47,"Rs 50,000",Rs 0,BIHAR
,,,,,,~ 50 Thou+,~ ,BIHAR
364,SATRUDHAN KUMAR PASWAN,SP,0,Post Graduate,35,"Rs 1,24,000","Rs 80,000",BIHAR
,,,,,,~ 1 Lacs+,~ 80 Thou+,BIHAR
365,SATTO MANDAL,IND,0,5th Pass,39,"Rs 5,81,500",Rs 0,BIHAR
,,,,,,~ 5 Lacs+,~ ,BIHAR
366,SATYA NARAYAN RAM,IND,0,Graduate,38,"Rs 7,300",Rs 0,BIHAR
,,,,,,~ 7 Thou+,~ ,BIHAR
367,SATYA NARAYAN WRITER,IND,0,Graduate,30,"Rs 40,000",Rs 0,BIHAR
,,,,,,~ 40 Thou+,~ ,BIHAR
368,SATYENDRA PRASAD YADAV,IND,2,8th Pass,43,"Rs 3,66,000",Rs 0,BIHAR
,,,,,,~ 3 Lacs+,~ ,BIHAR
369,SAWALIYA RAM,IND,0,Not Given,37,"Rs 4,10,569",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
370,SHAH TARIQ ANWAR,NCP,2,Graduate,54,"Rs 1,00,09,307","Rs 39,782",BIHAR
,,,,,,~ 1 Crore+,~ 39 Thou+,BIHAR
371,SHAHID AKHTAR,IND,0,Literate,44,"Rs 4,10,000",Rs 0,BIHAR
,,,,,,~ 4 Lacs+,~ ,BIHAR
372,SHAILENDRA PASWAN,AD,0,10th Pass,32,"Rs 10,000",Rs 0,BIHAR
,,,,,,~ 10 Thou+,~ ,BIHAR
373,SHAJAD ALAM,IND,0,Post Graduate,39,"Rs 54,500",Rs 0,BIHAR
,,,,,,~ 54 Thou+,~ ,BIHAR
374,SHAKTI RAJ,BSP,0,Graduate,25,"Rs 94,500",Rs 0,BIHAR
,,,,,,~ 94 Thou+,~ ,BIHAR
375,SHANKAR LAL CHOKHANI,LSD,0,Not Given,Unknown,Nil,Rs 0,BIHAR
,,,,,,,~ ,BIHAR
