Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
,,,,,~ 8ÿCrore+,~ 9ÿLacs+
Hukum Deo Narayan Yadav,MADHUBANI,BJP,0,Graduate,"Rsÿ7,79,78,890",Rsÿ0
,,,,,~ 7ÿCrore+,~ 
R.Gopalakrishnan,MADURAI,AIADMK,0,Graduate,"Rsÿ7,25,03,060","Rsÿ74,06,366"
,,,,,~ 7ÿCrore+,~ 74ÿLacs+
Prof. Azmeera Seetaram Naik,MAHABUBABAD,TRS,0,Doctorate,"Rsÿ80,08,000","Rsÿ41,00,000"
,,,,,~ 80ÿLacs+,~ 41ÿLacs+
Pankaj,MAHARAJGANJ,BJP,0,12th Pass,"Rsÿ19,18,19,151","Rsÿ21,51,048"
,,,,,~ 19ÿCrore+,~ 21ÿLacs+
Janardan Singh Sigriwal,MAHARAJGANJ,BJP,4,Graduate,"Rsÿ47,95,223","Rsÿ14,000"
,,,,,~ 47ÿLacs+,~ 14ÿThou+
Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,MAHASAMUND,BJP,0,Graduate Professional,"Rsÿ2,08,79,652","Rsÿ27,00,000"
,,,,,~ 2ÿCrore+,~ 27ÿLacs+
A P Jithender Reddy,MAHBUBNAGAR,TRS,4,Graduate,"Rsÿ14,08,31,576","Rsÿ13,86,969"
,,,,,~ 14ÿCrore+,~ 13ÿLacs+
Patel Jayshreeben Kanubhai,MAHESANA,BJP,0,10th Pass,"Rsÿ1,32,78,493","Rsÿ18,14,057"
,,,,,~ 1ÿCrore+,~ 18ÿLacs+
Mulayam Singh Yadav,MAINPURI,SP,0,Post Graduate,"Rsÿ15,96,71,544",Rsÿ0
,,,,,~ 15ÿCrore+,~ 
E. Ahamed,MALAPPURAM,IUML,0,Graduate Professional,"Rsÿ1,18,18,952",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"Rsÿ1,15,60,825","Rsÿ6,54,320"
,,,,,~ 1ÿCrore+,~ 6ÿLacs+
Mausam Noor,MALDAHA UTTAR,INC,0,Graduate Professional,"Rsÿ97,78,222","Rsÿ28,534"
,,,,,~ 97ÿLacs+,~ 28ÿThou+
Ch.Malla Reddy,MALKAJGIRI,TDP,0,12th Pass,"Rsÿ48,85,25,332","Rsÿ63,28,146"
,,,,,~ 48ÿCrore+,~ 63ÿLacs+
Ram Swaroop Sharma,MANDI,BJP,0,10th Pass,"Rsÿ1,01,78,871","Rsÿ5,71,823"
,,,,,~ 1ÿCrore+,~ 5ÿLacs+
Faggan Singh Kulaste,MANDLA,BJP,2,Post Graduate,"Rsÿ2,57,38,420","Rsÿ98,311"
,,,,,~ 2ÿCrore+,~ 98ÿThou+
Sudhir Gupta,MANDSOUR,BJP,0,Post Graduate,"Rsÿ5,74,29,237","Rsÿ30,58,993"
,,,,,~ 5ÿCrore+,~ 30ÿLacs+
C.S.Puttaraju,MANDYA,JD(S),0,12th Pass,"Rsÿ4,52,09,196","Rsÿ1,12,31,000"
,,,,,~ 4ÿCrore+,~ 1ÿCrore+
Ramen Deka,MANGALDOI,BJP,0,Graduate,"Rsÿ1,47,82,357","Rsÿ54,00,953"
,,,,,~ 1ÿCrore+,~ 54ÿLacs+
Deol Hema Malini Dharmendra,MATHURA,BJP,0,Doctorate,"Rsÿ1,78,20,15,620","Rsÿ23,12,34,174"
,,,,,~ 178ÿCrore+,~ 23ÿCrore+
Choudhury Mohan Jatua,MATHURAPUR,AITC,0,Post Graduate,"Rsÿ48,57,752",Rsÿ0
,,,,,~ 48ÿLacs+,~ 
Barne Shrirang Chandu,MAVAL,SHS,2,8th Pass,"Rsÿ66,50,47,926","Rsÿ1,17,99,786"
,,,,,~ 66ÿCrore+,~ 1ÿCrore+
Kodikunnil Suresh,MAVELIKKARA,INC,1,Graduate Professional,"Rsÿ1,32,51,330","Rsÿ34,39,654"
,,,,,~ 1ÿCrore+,~ 34ÿLacs+
Bharathi Mohan R.K,MAYILADUTHURAI,AIADMK,1,12th Pass,"Rsÿ73,78,589","Rsÿ9,69,756"
,,,,,~ 73ÿLacs+,~ 9ÿLacs+
Rama Chandra Hansdah,MAYURBHANJ,BJD,0,Graduate,"Rsÿ36,30,888",Rsÿ0
,,,,,~ 36ÿLacs+,~ 
Kalvakuntla Chandrashekar Rao,MEDAK,TRS,2,Graduate,"Rsÿ15,15,82,464","Rsÿ7,87,53,620"
,,,,,~ 15ÿCrore+,~ 7ÿCrore+
Sandhya Roy,MEDINIPUR,AITC,0,Literate,"Rsÿ3,10,31,095",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Rajendra Agarwal,MEERUT,BJP,2,Post Graduate,"Rsÿ88,03,517","Rsÿ30,74,600"
,,,,,~ 88ÿLacs+,~ 30ÿLacs+
Anupriya Singh Patel,MIRZAPUR,Apna Dal,2,Post Graduate,"Rsÿ2,68,58,156","Rsÿ18,05,603"
,,,,,~ 2ÿCrore+,~ 18ÿLacs+
Anju Bala,MISRIKH,BJP,0,Post Graduate,"Rsÿ3,76,18,214","Rsÿ12,00,000"
,,,,,~ 3ÿCrore+,~ 12ÿLacs+
C. L. Ruala,MIZORAM,INC,0,Graduate,"Rsÿ2,57,33,421",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Kaushal Kishore,MOHANLALGANJ,BJP,2,12th Pass,"Rsÿ2,11,28,221",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Kunwar Sarvesh Kumar,MORADABAD,BJP,4,10th Pass,"Rsÿ7,28,66,898","Rsÿ6,00,000"
,,,,,~ 7ÿCrore+,~ 6ÿLacs+
Anoop Mishra,MORENA,BJP,0,12th Pass,"Rsÿ11,05,23,112","Rsÿ68,78,160"
,,,,,~ 11ÿCrore+,~ 68ÿLacs+
Gopal Chinayya Shetty,MUMBAI NORTH,BJP,10,5th Pass,"Rsÿ9,56,17,889",Rsÿ0
,,,,,~ 9ÿCrore+,~ 
Poonam Mahajan Alias Poonam Vajendla Rao,MUMBAI NORTH CENTRAL,BJP,0,Others,"Rsÿ1,08,08,67,626","Rsÿ41,44,79,088"
,,,,,~ 108ÿCrore+,~ 41ÿCrore+
Kirit Somaiya,MUMBAI NORTH EAST,BJP,10,Doctorate,"Rsÿ7,21,56,258","Rsÿ65,93,325"
,,,,,~ 7ÿCrore+,~ 65ÿLacs+
Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,SHS,0,Graduate,"Rsÿ5,83,52,000","Rsÿ22,57,000"
,,,,,~ 5ÿCrore+,~ 22ÿLacs+
Sawant Arvind Ganpat,MUMBAI SOUTH,SHS,1,Graduate,"Rsÿ1,30,67,446",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Shewale Rahul Ramesh,MUMBAI SOUTH CENTRAL,SHS,1,Others,"Rsÿ1,33,04,397","Rsÿ1,05,02,345"
,,,,,~ 1ÿCrore+,~ 1ÿCrore+
Veena Devi,MUNGER,LJP,0,8th Pass,"Rsÿ3,11,62,836",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Badaruddoza Khan,MURSHIDABAD,CPI(M),0,Graduate Professional,"Rsÿ27,58,610",Rsÿ0
,,,,,~ 27ÿLacs+,~ 
Dr. Sanjeev Kumar Balyan,MUZAFFARNAGAR,BJP,1,Doctorate,"Rsÿ1,07,94,222","Rsÿ30,90,803"
,,,,,~ 1ÿCrore+,~ 30ÿLacs+
Ajay Nishad,MUZAFFARPUR,BJP,0,Graduate,"Rsÿ14,57,12,654","Rsÿ9,89,888"
,,,,,~ 14ÿCrore+,~ 9ÿLacs+
Prathap Simha,MYSORE,BJP,0,Post Graduate,"Rsÿ63,21,591","Rsÿ43,99,048"
,,,,,~ 63ÿLacs+,~ 43ÿLacs+
Balabhadra Majhi,NABARANGPUR,BJD,0,Graduate,"Rsÿ5,29,77,088","Rsÿ7,05,404"
,,,,,~ 5ÿCrore+,~ 7ÿLacs+
Neiphiu Rio,NAGALAND,NPF,0,Graduate,"Rsÿ31,58,34,264",Rsÿ0
,,,,,~ 31ÿCrore+,~ 
Gopal. Dr. K,NAGAPATTINAM,AIADMK,0,Graduate Professional,"Rsÿ1,90,74,709","Rsÿ1,36,29,120"
,,,,,~ 1ÿCrore+,~ 1ÿCrore+
Nandi Yellaiah,NAGARKURNOOL,INC,0,12th Pass,"Rsÿ70,48,969",Rsÿ0
,,,,,~ 70ÿLacs+,~ 
C R Choudhary,NAGAUR,BJP,0,Post Graduate,"Rsÿ1,79,21,949",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Yashwant Singh,NAGINA,BJP,0,Post Graduate,"Rsÿ3,48,06,740",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Gadkari Nitin Jairam,NAGPUR,BJP,4,Graduate Professional,"Rsÿ15,37,04,475","Rsÿ1,90,04,037"
,,,,,~ 15ÿCrore+,~ 1ÿCrore+
Bhagat Singh Koshyari,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Post Graduate,"Rsÿ55,62,704",Rsÿ0
,,,,,~ 55ÿLacs+,~ 
Kaushlendra Kumar,NALANDA,JD(U),0,12th Pass,"Rsÿ1,18,12,717","Rsÿ4,77,000"
,,,,,~ 1ÿCrore+,~ 4ÿLacs+
Gutha Sukhender Reddy,NALGONDA,INC,1,12th Pass,"Rsÿ8,59,07,866","Rsÿ1,01,03,677"
,,,,,~ 8ÿCrore+,~ 1ÿCrore+
Sundaram P.R,NAMAKKAL,AIADMK,0,Graduate,"Rsÿ12,65,39,914","Rsÿ9,26,77,412"
,,,,,~ 12ÿCrore+,~ 9ÿCrore+
Shri Chavan Ashokrao Shankarrao,NANDED,INC,0,Post Graduate,"Rsÿ38,87,58,910","Rsÿ3,05,13,286"
,,,,,~ 38ÿCrore+,~ 3ÿCrore+
Dr.Gavit Heena Vaijaykumar,NANDURBAR,BJP,0,Graduate Professional,"Rsÿ13,11,03,963","Rsÿ75,71,753"
,,,,,~ 13ÿCrore+,~ 75ÿLacs+
S.P.Y Reddy,NANDYAL,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,"Rsÿ21,95,78,079","Rsÿ10,77,820"
,,,,,~ 21ÿCrore+,~ 10ÿLacs+
Rayapati Sambasiva Rao,NARASARAOPET,TDP,2,Graduate,"Rsÿ59,58,38,093","Rsÿ5,62,63,516"
,,,,,~ 59ÿCrore+,~ 5ÿCrore+
Gokaraju Ganga Raju,NARSAPURAM,BJP,1,Graduate,"Rsÿ2,88,35,67,122","Rsÿ16,85,01,286"
,,,,,~ 288ÿCrore+,~ 16ÿCrore+
Godse Hement Tukaram,NASHIK,SHS,1,12th Pass,"Rsÿ8,36,28,253","Rsÿ2,35,59,648"
,,,,,~ 8ÿCrore+,~ 2ÿCrore+
Patil Chandrakant Raghunath,NAVSARI,BJP,7,10th Pass,"Rsÿ74,47,61,133","Rsÿ40,58,88,122"
,,,,,~ 74ÿCrore+,~ 40ÿCrore+
Giriraj Singh,NAWADA,BJP,1,Graduate,"Rsÿ5,00,54,771",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
Mekapati Rajamohan Reddy,NELLORE,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,"Rsÿ36,17,46,068",Rsÿ0
,,,,,~ 36ÿCrore+,~ 
Smt. Meenakshi Lekhi,NEW DELHI,BJP,0,Graduate Professional,"Rsÿ34,99,16,470","Rsÿ32,75,562"
,,,,,~ 34ÿCrore+,~ 32ÿLacs+
"Gopalakrishnan, C.",NILGIRIS,AIADMK,0,Post Graduate,"Rsÿ1,09,41,189","Rsÿ12,24,754"
,,,,,~ 1ÿCrore+,~ 12ÿLacs+
Kalvakuntla Kavitha,NIZAMABAD,TRS,8,Graduate Professional,"Rsÿ6,19,55,750","Rsÿ32,13,119"
,,,,,~ 6ÿCrore+,~ 32ÿLacs+
Manoj Tiwari,NORTH EAST DELHI,BJP,0,Post Graduate,"Rsÿ19,94,83,924","Rsÿ3,46,45,630"
,,,,,~ 19ÿCrore+,~ 3ÿCrore+
Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,"Rsÿ3,70,19,154","Rsÿ8,37,843"
,,,,,~ 3ÿCrore+,~ 8ÿLacs+
Udit Raj,NORTH WEST DELHI,BJP,1,Doctorate,"Rsÿ4,49,02,363",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Rajen Gohain,NOWGONG,BJP,1,Graduate Professional,"Rsÿ2,47,36,544","Rsÿ53,28,287"
,,,,,~ 2ÿCrore+,~ 53ÿLacs+
Yarram Venkata Subbareddy,ONGOLE,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,"Rsÿ73,54,51,548","Rsÿ24,05,57,614"
,,,,,~ 73ÿCrore+,~ 24ÿCrore+
Gaikwad Ravindra Vishwanath,OSMANABAD,SHS,8,Post Graduate,"Rsÿ3,28,52,793","Rsÿ59,62,702"
,,,,,~ 3ÿCrore+,~ 59ÿLacs+
Thangso Baite,OUTER MANIPUR,INC,0,Post Graduate,"Rsÿ59,47,000","Rsÿ8,80,000"
,,,,,~ 59ÿLacs+,~ 8ÿLacs+
M B Rajesh,PALAKKAD,CPI(M),11,Graduate Professional,"Rsÿ46,76,316","Rsÿ7,00,680"
,,,,,~ 46ÿLacs+,~ 7ÿLacs+
Vishnu Dayal Ram,PALAMAU,BJP,0,Graduate,"Rsÿ2,47,53,886",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Wanaga Chintaman Navasha,PALGHAR,BJP,0,Graduate Professional,"Rsÿ58,09,644","Rsÿ4,01,000"
,,,,,~ 58ÿLacs+,~ 4ÿLacs+
P P Choudhary,PALI,BJP,0,Graduate Professional,"Rsÿ35,35,03,467","Rsÿ78,92,216"
,,,,,~ 35ÿCrore+,~ 78ÿLacs+
Chauhan Prabhatsinh Pratapsinh,PANCHMAHAL,BJP,3,10th Pass,"Rsÿ1,04,64,000",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Jadhav Sanjay (Bandu) Haribhau,PARBHANI,SHS,7,10th Pass,"Rsÿ3,10,16,711","Rsÿ59,76,851"
,,,,,~ 3ÿCrore+,~ 59ÿLacs+
Dr. Sanjay Jayaswal,PASCHIM CHAMPARAN,BJP,2,Post Graduate,"Rsÿ3,59,41,299","Rsÿ61,97,804"
,,,,,~ 3ÿCrore+,~ 61ÿLacs+
Ram Kripal Yadav,PATALIPUTRA,BJP,1,Graduate,"Rsÿ1,39,89,431","Rsÿ21,00,000"
,,,,,~ 1ÿCrore+,~ 21ÿLacs+
Vaghela Liladharbhai Khodaji,PATAN,BJP,0,Graduate Professional,"Rsÿ1,53,84,027",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Anto Antony,PATHANAMTHITTA,INC,0,Graduate,"Rsÿ54,10,884","Rsÿ42,11,050"
,,,,,~ 54ÿLacs+,~ 42ÿLacs+
Dr.Dharam Vira Gandhi,PATIALA,AAP,0,Graduate Professional,"Rsÿ4,51,15,421",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Shatrughan Sinha,PATNA SAHIB,BJP,1,Graduate,"Rsÿ1,31,74,05,961","Rsÿ16,87,60,929"
,,,,,~ 131ÿCrore+,~ 16ÿCrore+
Balka Suman,PEDDAPALLE,TRS,1,Post Graduate,"Rsÿ73,51,329","Rsÿ6,20,770"
,,,,,~ 73ÿLacs+,~ 6ÿLacs+
R.P.Marutharajaa,PERAMBALUR,AIADMK,0,Post Graduate,"Rsÿ2,45,70,213",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Keshav Prasad,PHULPUR,BJP,11,Graduate,"Rsÿ9,32,44,143","Rsÿ2,43,81,051"
,,,,,~ 9ÿCrore+,~ 2ÿCrore+
Maneka Sanjay Gandhi,PILIBHIT,BJP,1,12th Pass,"Rsÿ37,41,32,826","Rsÿ2,19,202"
,,,,,~ 37ÿCrore+,~ 2ÿLacs+
Mahendran.C,POLLACHI,AIADMK,0,Post Graduate,"Rsÿ23,14,30,367","Rsÿ1,81,28,825"
,,,,,~ 23ÿCrore+,~ 1ÿCrore+
R. Radhakrishnan,PONDICHERRY,All India N.R. Congress,0,Post Graduate,"Rsÿ7,77,24,418","Rsÿ76,58,530"
,,,,,~ 7ÿCrore+,~ 76ÿLacs+
E. T. Mohammed Basheer,PONNANI,IUML,0,10th Pass,"Rsÿ1,32,16,259",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Radadiya Vithalbhai Hansrajbhai,PORBANDAR,BJP,10,Graduate,"Rsÿ7,30,03,639","Rsÿ3,16,000"
,,,,,~ 7ÿCrore+,~ 3ÿLacs+
Kuwar Harivansh Singh,PRATAPGARH,Apna Dal,5,Graduate,"Rsÿ38,31,37,665","Rsÿ14,94,04,112"
,,,,,~ 38ÿCrore+,~ 14ÿCrore+
Anil Shirole,PUNE,BJP,2,Graduate,"Rsÿ22,76,15,279","Rsÿ47,81,007"
,,,,,~ 22ÿCrore+,~ 47ÿLacs+
Pinaki Mishra,PURI,BJD,0,Graduate Professional,"Rsÿ1,37,09,91,203","Rsÿ1,99,75,839"
,,,,,~ 137ÿCrore+,~ 1ÿCrore+
Santosh Kumar,PURNIA,JD(U),3,12th Pass,"Rsÿ2,23,16,594","Rsÿ14,06,515"
,,,,,~ 2ÿCrore+,~ 14ÿLacs+
Mriganka Mahato,PURULIA,AITC,0,Graduate Professional,"Rsÿ88,95,210",Rsÿ0
,,,,,~ 88ÿLacs+,~ 
Radha Mohan Singh,PURVI CHAMPARAN,BJP,0,Graduate,"Rsÿ2,25,58,073","Rsÿ42,70,360"
,,,,,~ 2ÿCrore+,~ 42ÿLacs+
Sonia Gandhi,RAE BARELI,INC,0,Others,"Rsÿ9,28,95,288",Rsÿ0
,,,,,~ 9ÿCrore+,~ 
B.V.Nayak,RAICHUR,INC,0,Graduate Professional,"Rsÿ7,35,02,466",Rsÿ0
,,,,,~ 7ÿCrore+,~ 
Geete Anant Gangaram,RAIGAD,SHS,0,10th Pass,"Rsÿ4,44,66,487","Rsÿ2,39,68,087"
,,,,,~ 4ÿCrore+,~ 2ÿCrore+
Md. Salim,RAIGANJ,CPI(M),0,Post Graduate,"Rsÿ83,18,013",Rsÿ0
,,,,,~ 83ÿLacs+,~ 
Vishnudev Sai,RAIGARH,BJP,0,10th Pass,"Rsÿ2,15,76,220","Rsÿ18,19,686"
,,,,,~ 2ÿCrore+,~ 18ÿLacs+
Ramesh Bais,RAIPUR,BJP,0,12th Pass,"Rsÿ7,31,90,135","Rsÿ2,74,902"
,,,,,~ 7ÿCrore+,~ 2ÿLacs+
Murali Mohan Maganti,RAJAHMUNDRY,TDP,1,12th Pass,"Rsÿ18,08,22,216","Rsÿ1,22,45,000"
,,,,,~ 18ÿCrore+,~ 1ÿCrore+
P.V.Midhun Reddy,RAJAMPET,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,"Rsÿ22,59,84,036","Rsÿ81,83,862"
,,,,,~ 22ÿCrore+,~ 81ÿLacs+
Rodmal Nagar,RAJGARH,BJP,0,Graduate,"Rsÿ2,85,69,974","Rsÿ35,86,473"
,,,,,~ 2ÿCrore+,~ 35ÿLacs+
Mohanbhai Kalyanjibhai Kundariya,RAJKOT,BJP,0,8th Pass,"Rsÿ3,95,12,950","Rsÿ23,35,530"
,,,,,~ 3ÿCrore+,~ 23ÿLacs+
Vijay Kumar Hansdak,RAJMAHAL,JMM,1,5th Pass,"Rsÿ68,63,306",Rsÿ0
,,,,,~ 68ÿLacs+,~ 
Abhishek Singh,RAJNANDGAON,BJP,0,Graduate Professional,"Rsÿ4,40,93,207",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Hari Om Singh Rathore,RAJSAMAND,BJP,0,Graduate,"Rsÿ18,83,10,824","Rsÿ27,28,752"
,,,,,~ 18ÿCrore+,~ 27ÿLacs+
Anwhar Raajhaa.A,RAMANATHAPURAM,AIADMK,0,Graduate,"Rsÿ3,35,82,876","Rsÿ27,00,000"
,,,,,~ 3ÿCrore+,~ 27ÿLacs+
Dr. Nepal Singh,RAMPUR,BJP,0,Doctorate,"Rsÿ2,71,36,042","Rsÿ16,14,820"
,,,,,~ 2ÿCrore+,~ 16ÿLacs+
Krupal Balaji Tumane,RAMTEK,SHS,1,Graduate,"Rsÿ4,65,64,362","Rsÿ2,16,000"
,,,,,~ 4ÿCrore+,~ 2ÿLacs+
Tapas Mandal,RANAGHAT,AITC,0,Doctorate,"Rsÿ81,69,115","Rsÿ23,83,416"
,,,,,~ 81ÿLacs+,~ 23ÿLacs+
Ramtahal Choudhary,RANCHI,BJP,0,10th Pass,"Rsÿ1,07,43,950",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Dileep Singh Bhuriya,RATLAM,BJP,0,10th Pass,"Rsÿ1,22,59,882",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Vinayak Bhaurao Raut,RATNAGIRI SINDHUDURG,SHS,5,Post Graduate,"Rsÿ4,45,68,629","Rsÿ23,70,842"
,,,,,~ 4ÿCrore+,~ 23ÿLacs+
Khadase Raksha Nikhil,RAVER,BJP,0,Graduate,"Rsÿ14,42,22,841",Rsÿ0
,,,,,~ 14ÿCrore+,~ 
Janardan Mishra,REWA,BJP,0,Graduate Professional,"Rsÿ1,01,56,568","Rsÿ1,06,977"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
Chhote Lal,ROBERTSGANJ,BJP,0,5th Pass,"Rsÿ36,87,361","Rsÿ55,313"
,,,,,~ 36ÿLacs+,~ 55ÿThou+
Deepender Singh,ROHTAK,INC,0,Post Graduate,"Rsÿ35,87,49,354","Rsÿ3,93,10,300"
,,,,,~ 35ÿCrore+,~ 3ÿCrore+
Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,"Rsÿ2,07,00,176","Rsÿ4,17,585"
,,,,,~ 2ÿCrore+,~ 4ÿLacs+
Laxmi Narayan Yadav,SAGAR,BJP,1,Graduate Professional,"Rsÿ2,39,62,099","Rsÿ9,56,348"
,,,,,~ 2ÿCrore+,~ 9ÿLacs+
Raghav Lakhanpal,SAHARANPUR,BJP,0,Post Graduate,"Rsÿ3,54,06,431",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Pannerselvam.V,SALEM,AIADMK,0,Graduate Professional,"Rsÿ3,22,68,097","Rsÿ2,53,282"
,,,,,~ 3ÿCrore+,~ 2ÿLacs+
Ravindra Kushawaha,SALEMPUR,BJP,0,12th Pass,"Rsÿ71,34,477",Rsÿ0
,,,,,~ 71ÿLacs+,~ 
Ram Chandra Paswan,SAMASTIPUR,LJP,3,10th Pass,"Rsÿ1,30,58,612",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Nagendra Kumar Pradhan,SAMBALPUR,BJD,0,Graduate Professional,"Rsÿ1,27,96,623","Rsÿ14,61,565"
,,,,,~ 1ÿCrore+,~ 14ÿLacs+
Satya Pal Singh,SAMBHAL,BJP,0,Post Graduate,"Rsÿ1,99,04,379",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Sanjaykaka Patil,SANGLI,BJP,0,10th Pass,"Rsÿ10,87,91,027","Rsÿ1,91,98,050"
,,,,,~ 10ÿCrore+,~ 1ÿCrore+
Bhagwant Mann,SANGRUR,AAP,0,12th Pass,"Rsÿ4,30,57,512","Rsÿ1,62,81,200"
,,,,,~ 4ÿCrore+,~ 1ÿCrore+
Sharad Tripathi,SANT KABIR NAGAR,BJP,0,Post Graduate,"Rsÿ36,97,671","Rsÿ71,800"
,,,,,~ 36ÿLacs+,~ 71ÿThou+
Rajiv Pratap Rudy,SARAN,BJP,1,Post Graduate,"Rsÿ6,25,45,997","Rsÿ10,08,658"
,,,,,~ 6ÿCrore+,~ 10ÿLacs+
Chhedi Paswan,SASARAM,BJP,0,Post Graduate,"Rsÿ3,57,76,803","Rsÿ2,75,000"
,,,,,~ 3ÿCrore+,~ 2ÿLacs+
Shrimant Chh. Udayanraje Pratapsinha Bhonsale,SATARA,NCP,23,12th Pass,"Rsÿ60,60,89,208","Rsÿ3,12,941"
,,,,,~ 60ÿCrore+,~ 3ÿLacs+
Ganesh Singh,SATNA,BJP,2,Post Graduate,"Rsÿ3,78,00,000",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Bandaru Dattatreya,SECUNDERABAD,BJP,3,Graduate,"Rsÿ9,82,55,148","Rsÿ4,05,469"
,,,,,~ 9ÿCrore+,~ 4ÿLacs+
Dalpat Singh Paraste,SHAHDOL,BJP,0,Graduate Professional,"Rsÿ55,24,870",Rsÿ0
,,,,,~ 55ÿLacs+,~ 
Krishna Raj,SHAHJAHANPUR,BJP,0,Post Graduate,"Rsÿ1,65,06,411","Rsÿ36,12,812"
,,,,,~ 1ÿCrore+,~ 36ÿLacs+
Rama Devi,SHEOHAR,BJP,6,Graduate Professional,"Rsÿ30,85,91,850",Rsÿ0
,,,,,~ 30ÿCrore+,~ 
Vincent H. Pala,SHILLONG,INC,0,Graduate Professional,"Rsÿ49,71,08,058",Rsÿ0
,,,,,~ 49ÿCrore+,~ 
Virender Kashyap,SHIMLA,BJP,0,Post Graduate,"Rsÿ52,28,095",Rsÿ0
,,,,,~ 52ÿLacs+,~ 
B.S. Yeddyurappa,SHIMOGA,BJP,9,12th Pass,"Rsÿ6,97,46,267","Rsÿ5,00,000"
,,,,,~ 6ÿCrore+,~ 5ÿLacs+
Lokhande Sadashiv Kisan,SHIRDI,SHS,1,10th Pass,"Rsÿ3,82,94,539","Rsÿ14,97,168"
,,,,,~ 3ÿCrore+,~ 14ÿLacs+
Adhalrao Shivaji Dattatrey,SHIRUR,SHS,10,Others,"Rsÿ25,38,80,475","Rsÿ6,18,10,866"
,,,,,~ 25ÿCrore+,~ 6ÿCrore+
Daddan Mishra,SHRAWASTI,BJP,0,Post Graduate,"Rsÿ2,00,65,527","Rsÿ2,28,304"
,,,,,~ 2ÿCrore+,~ 2ÿLacs+
Riti Pathak,SIDHI,BJP,0,Post Graduate,"Rsÿ3,34,16,561",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Sumedha Nand Saraswati,SIKAR,BJP,0,Others,"Rsÿ34,311",Rsÿ0
,,,,,~ 34ÿThou+,~ 
Prem Das Rai,SIKKIM,SDF,0,Post Graduate,"Rsÿ3,23,89,223",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Sushmita Dev,SILCHAR,INC,1,Post Graduate,"Rsÿ8,74,95,844","Rsÿ1,20,08,613"
,,,,,~ 8ÿCrore+,~ 1ÿCrore+
Laxman Giluwa,SINGHBHUM,BJP,4,12th Pass,"Rsÿ80,94,301","Rsÿ1,08,145"
,,,,,~ 80ÿLacs+,~ 1ÿLacs+
Charanjeet Singh,SIRSA,INLD,0,10th Pass,"Rsÿ81,46,887","Rsÿ32,60,000"
,,,,,~ 81ÿLacs+,~ 32ÿLacs+
Ram Kumar Sharma,SITAMARHI,Rashtriya Lok Samta Party,0,Post Graduate,"Rsÿ92,65,000","Rsÿ82,000"
,,,,,~ 92ÿLacs+,~ 82ÿThou+
Rajesh Kumar Singh,SITAPUR,BJP,0,Post Graduate,"Rsÿ4,14,18,622","Rsÿ12,65,000"
,,,,,~ 4ÿCrore+,~ 12ÿLacs+
Pr Senthilnathan,SIVAGANGA,AIADMK,0,Graduate Professional,"Rsÿ4,90,50,835","Rsÿ74,59,581"
,,,,,~ 4ÿCrore+,~ 74ÿLacs+
Om Prakash Yadav,SIWAN,BJP,1,Graduate,"Rsÿ22,13,023","Rsÿ19,56,467"
,,,,,~ 22ÿLacs+,~ 19ÿLacs+
Sharad Bansode,SOLAPUR,BJP,1,Graduate Professional,"Rsÿ6,01,52,887","Rsÿ76,04,375"
,,,,,~ 6ÿCrore+,~ 76ÿLacs+
