Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
,,,,,~ 40ÿLacs+,~ 8ÿLacs+
Malyadri Sriram,BAPATLA,TDP,0,Post Graduate,"Rsÿ4,53,59,744",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
Priyanka Singh Rawat,BARABANKI,BJP,0,Post Graduate,"Rsÿ1,31,75,500","Rsÿ14,50,000"
,,,,,~ 1ÿCrore+,~ 14ÿLacs+
Supriya Sule,BARAMATI,NCP,0,Graduate,"Rsÿ1,13,90,90,851",Rsÿ0
,,,,,~ 113ÿCrore+,~ 
Muzaffar Hussain Baig,BARAMULLA,JKPDP,0,Post Graduate,"Rsÿ20,07,07,183","Rsÿ1,14,01,285"
,,,,,~ 20ÿCrore+,~ 1ÿCrore+
Dr. Kakali Ghoshdostidar,BARASAT,AITC,0,Graduate Professional,"Rsÿ3,12,54,311","Rsÿ11,68,220"
,,,,,~ 3ÿCrore+,~ 11ÿLacs+
Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,"Rsÿ1,18,41,000","Rsÿ14,20,000"
,,,,,~ 1ÿCrore+,~ 14ÿLacs+
Mamtaz Sanghamita,BARDHAMAN-DURGAPUR,AITC,0,Post Graduate,"Rsÿ10,76,80,000",Rsÿ0
,,,,,~ 10ÿCrore+,~ 
Parbhubhai Nagarbhai Vasava,BARDOLI,BJP,1,Others,"Rsÿ1,59,09,957","Rsÿ13,53,400"
,,,,,~ 1ÿCrore+,~ 13ÿLacs+
Santosh Gangwar,BAREILLY,BJP,0,Graduate Professional,"Rsÿ3,86,02,862","Rsÿ17,77,215"
,,,,,~ 3ÿCrore+,~ 17ÿLacs+
Prabhas Kumar Singh,BARGARH,BJD,0,Doctorate,"Rsÿ57,86,971","Rsÿ6,70,000"
,,,,,~ 57ÿLacs+,~ 6ÿLacs+
Col. Sona Ram,BARMER,BJP,1,Graduate Professional,"Rsÿ17,46,78,454","Rsÿ55,84,331"
,,,,,~ 17ÿCrore+,~ 55ÿLacs+
Siraj Uddin Ajmal,BARPETA,AIUDF,0,Graduate,"Rsÿ67,08,06,607",Rsÿ0
,,,,,~ 67ÿCrore+,~ 
Dinesh Trivedi,BARRACKPUR,AITC,0,Post Graduate,"Rsÿ5,35,82,340","Rsÿ1,56,61,349"
,,,,,~ 5ÿCrore+,~ 1ÿCrore+
Idris Ali,BASIRHAT,AITC,9,Graduate Professional,"Rsÿ98,00,277",Rsÿ0
,,,,,~ 98ÿLacs+,~ 
Dinesh Kashyap,BASTAR,BJP,1,Post Graduate,"Rsÿ1,61,08,199","Rsÿ21,91,216"
,,,,,~ 1ÿCrore+,~ 21ÿLacs+
Harish Chandra,BASTI,BJP,2,Post Graduate,"Rsÿ53,50,882","Rsÿ8,60,185"
,,,,,~ 53ÿLacs+,~ 8ÿLacs+
Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,"Rsÿ1,08,16,64,910","Rsÿ41,26,34,299"
,,,,,~ 108ÿCrore+,~ 41ÿCrore+
Munde Gopinathrao Pandurang,BEED,BJP,3,Graduate Professional,"Rsÿ38,00,72,890","Rsÿ33,57,29,817"
,,,,,~ 38ÿCrore+,~ 33ÿCrore+
Bhola Singh,BEGUSARAI,BJP,0,Doctorate,"Rsÿ2,52,48,102",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Suresh Angadi,BELGAUM,BJP,1,Graduate Professional,"Rsÿ41,70,03,065","Rsÿ36,62,83,849"
,,,,,~ 41ÿCrore+,~ 36ÿCrore+
B Sreeramulu,BELLARY,BJP,8,Graduate,"Rsÿ15,13,92,844","Rsÿ40,50,947"
,,,,,~ 15ÿCrore+,~ 40ÿLacs+
Sidhant Mohapatra,BERHAMPUR,BJD,0,Graduate,"Rsÿ1,64,62,430","Rsÿ11,83,828"
,,,,,~ 1ÿCrore+,~ 11ÿLacs+
Jyoti Dhurve,BETUL,BJP,2,Post Graduate,"Rsÿ2,62,32,000","Rsÿ10,00,000"
,,,,,~ 2ÿCrore+,~ 10ÿLacs+
Virendra Singh,BHADOHI,BJP,0,Graduate,"Rsÿ1,15,31,458","Rsÿ7,91,186"
,,,,,~ 1ÿCrore+,~ 7ÿLacs+
Arjun Charan Sethi,BHADRAK,BJD,0,Post Graduate,"Rsÿ67,30,000","Rsÿ24,24,000"
,,,,,~ 67ÿLacs+,~ 24ÿLacs+
Shailesh Kumar Urph Bulo Mandal,BHAGALPUR,RJD,1,12th Pass,"Rsÿ2,02,16,734",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Nanabhau Falgunrao Patole,BHANDARA-GONDIYA,BJP,5,Graduate,"Rsÿ1,27,38,190",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Bahadur Singh,BHARATPUR,BJP,0,Literate,"Rsÿ1,91,42,363","Rsÿ13,33,100"
,,,,,~ 1ÿCrore+,~ 13ÿLacs+
Mansukhbhai Dhanjibhai Vasava,BHARUCH,BJP,0,Post Graduate,"Rsÿ65,71,062","Rsÿ6,39,000"
,,,,,~ 65ÿLacs+,~ 6ÿLacs+
Shyal Bhartiben Dhirubhai,BHAVNAGAR,BJP,0,Graduate Professional,"Rsÿ77,48,925","Rsÿ30,72,058"
,,,,,~ 77ÿLacs+,~ 30ÿLacs+
Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,"Rsÿ14,28,70,042","Rsÿ86,65,902"
,,,,,~ 14ÿCrore+,~ 86ÿLacs+
Bhagirath Prasad,BHIND,BJP,0,Doctorate,"Rsÿ2,12,40,286","Rsÿ36,87,610"
,,,,,~ 2ÿCrore+,~ 36ÿLacs+
Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,"Rsÿ36,37,58,831","Rsÿ1,06,97,367"
,,,,,~ 36ÿCrore+,~ 1ÿCrore+
Dharambir,BHIWANI-MAHENDRAGARH,BJP,0,Graduate,"Rsÿ5,00,57,200","Rsÿ45,30,000"
,,,,,~ 5ÿCrore+,~ 45ÿLacs+
Dr. Narsaiah Boora,BHONGIR,TRS,0,Post Graduate,"Rsÿ20,29,83,225","Rsÿ1,35,74,088"
,,,,,~ 20ÿCrore+,~ 1ÿCrore+
Alok Sanjar,BHOPAL,BJP,0,Graduate Professional,"Rsÿ1,45,94,066","Rsÿ3,00,000"
,,,,,~ 1ÿCrore+,~ 3ÿLacs+
"Prasanna Kumar Patasani,",BHUBANESWAR,BJD,0,Post Graduate,"Rsÿ1,35,57,443","Rsÿ95,90,067"
,,,,,~ 1ÿCrore+,~ 95ÿLacs+
Bhagwanth,BIDAR,BJP,0,Graduate Professional,"Rsÿ5,65,59,290","Rsÿ1,68,29,000"
,,,,,~ 5ÿCrore+,~ 1ÿCrore+
Ramesh Jigajinagi,BIJAPUR,BJP,2,Graduate,"Rsÿ8,94,29,828","Rsÿ53,05,043"
,,,,,~ 8ÿCrore+,~ 53ÿLacs+
Kunwar Bhartendra,BIJNOR,BJP,2,Post Graduate,"Rsÿ2,48,40,646",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,"Rsÿ1,81,42,863","Rsÿ12,16,408"
,,,,,~ 1ÿCrore+,~ 12ÿLacs+
Lakhanlal Sau S/O Kalyan Lal Sahu,BILASPUR,BJP,0,Post Graduate,"Rsÿ86,61,133","Rsÿ3,06,357"
,,,,,~ 86ÿLacs+,~ 3ÿLacs+
Satabdi Roy(Banerjee),BIRBHUM,AITC,0,Graduate,"Rsÿ5,49,72,174","Rsÿ54,78,944"
,,,,,~ 5ÿCrore+,~ 54ÿLacs+
Saumitra Khan,BISHNUPUR,AITC,1,12th Pass,"Rsÿ11,97,255",Rsÿ0
,,,,,~ 11ÿLacs+,~ 
Kalikesh Narayan Singh Deo,BOLANGIR,BJD,2,Graduate,"Rsÿ8,79,55,818","Rsÿ2,44,10,449"
,,,,,~ 8ÿCrore+,~ 2ÿCrore+
Anupam Hazra,BOLPUR,AITC,0,Doctorate,"Rsÿ48,66,883",Rsÿ0
,,,,,~ 48ÿLacs+,~ 
Dr. Bhola Singh,BULANDSHAHR,BJP,0,Graduate,"Rsÿ1,25,77,537",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Jadhav Prataprao Ganpatrao,BULDHANA,SHS,2,12th Pass,"Rsÿ3,60,33,147","Rsÿ6,84,092"
,,,,,~ 3ÿCrore+,~ 6ÿLacs+
Ashwini Kumar Choubey,BUXAR,BJP,0,Graduate,"Rsÿ2,20,94,499","Rsÿ19,23,552"
,,,,,~ 2ÿCrore+,~ 19ÿLacs+
Innocent,CHALAKUDY,IND,0,8th Pass,"Rsÿ5,44,74,761","Rsÿ13,03,000"
,,,,,~ 5ÿCrore+,~ 13ÿLacs+
R. Dhruvanarayana,CHAMARAJANAGAR,INC,0,Post Graduate,"Rsÿ3,15,19,950","Rsÿ26,05,818"
,,,,,~ 3ÿCrore+,~ 26ÿLacs+
Mahendra Nath,CHANDAULI,BJP,0,Doctorate,"Rsÿ2,64,89,505","Rsÿ11,14,000"
,,,,,~ 2ÿCrore+,~ 11ÿLacs+
Smt. Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,"Rsÿ33,53,43,871","Rsÿ18,86,187"
,,,,,~ 33ÿCrore+,~ 18ÿLacs+
