Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Namakkal,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,79.60%,M,DMK,3.11,Sundaram P.R,0,Graduate,126539914,92677412,62,7.33
Nanded,GEN,Maharashtra,INC,60.10%,M,INC,8.78,Ashok Shankarrao Chavan,0,Post Graduate,388758910,30513286,55,3.99
Nandurbar,ST,Maharashtra,BJP,66.80%,F,INC,8.78,Dr.Gavit Heena Vaijaykumar,0,Graduate Professional,131103963,7571753,26,3.99
Nandyal,GEN,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,76.40%,M,INC,2.44,S.P.Y Reddy,2,Graduate Professional,219578079,1077820,64,6.15
Narasaraopet,GEN,Andhra Pradesh,Telugu Desam,84.60%,M,TDP,2.44,Sambasiva Rao Rayapati,2,Graduate,595838093,56263516,70,6.15
Narsapuram,GEN,Andhra Pradesh,BJP,82.20%,M,INC,2.44,Gokaraju Ganga Raju,1,Graduate,2883567122,168501286,69,6.15
Nashik,GEN,Maharashtra,Shiv Sena,58.80%,M,NCP,8.78,Godse Hemant Tukaram,1,12th Pass,83628253,23559648,43,3.99
Navsari,GEN,Gujarat,BJP,65.80%,M,BJP,7.12,C. R. Patil,7,10th Pass,744761133,405888122,59,-6.96
Nawada,GEN,Bihar,BJP,52.80%,M,BJP,11.53,Giriraj Singh,1,Graduate,50054771,0,61,-10.06
Nellore,GEN,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,73.90%,M,INC,2.44,Mekapati Rajamohan Reddy,2,Graduate Professional,361746068,0,69,6.15
New Delhi,GEN,Delhi,BJP,65.10%,F,INC,1.36,Meenakashi Lekhi,0,Graduate Professional,349916470,3275562,46,3.21
Nilgiris,SC,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,73.50%,M,DMK,3.11,"Gopalakrishnan, C.",0,Post Graduate,10941189,1224754,52,7.33
Nizamabad,GEN,Telangana,Telangana Rashtra Samithi,69.10%,F,INC,2.44,Kalvakuntla Kavitha,8,Graduate Professional,61955750,3213119,36,6.15
North East Delhi,GEN,Delhi,BJP,67.30%,M,INC,1.36,Manoj Tiwari,0,Post Graduate,199483924,34645630,43,3.21
North Goa,GEN,Goa,BJP,78.90%,M,BJP,-4.86,Shripad Yesso Naik,0,Graduate,37019154,837843,61,-4.53
North West Delhi,SC,Delhi,BJP,61.80%,M,INC,1.36,Udit Raj,1,Doctorate,44902363,0,56,3.21
Nowgong,GEN,Assam,BJP,80.70%,M,BJP,4.28,Rajen Gohain,1,Graduate Professional,24736544,5328287,63,4.59
Ongole,GEN,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,82.20%,M,INC,2.44,Y.V.Subba Reddy,0,Post Graduate,735451548,240557614,53,6.15
Osmanabad,GEN,Maharashtra,Shiv Sena,64.80%,M,NCP,8.78,Gaikwad Ravindra Vishwanath,8,Post Graduate,32852793,5962702,54,3.99
Outer Manipur,ST,Manipur,INC,84.00%,M,INC,1.98,Thangso Baite,0,Post Graduate,5947000,880000,61,2.61
Palakkad,GEN,Kerala,Communist Party Of India (MARXIST),75.30%,M,CPM,18.41,M B Rajesh,11,Graduate Professional,4676316,700680,43,4.39
