Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Adilabad,ST,Telangana,Telangana Rashtra Samithi,75.40%,M,TDP,2.44,Godam Nagesh,0,Post Graduate,10378857,148784,49,6.15
Agra,SC,Uttar Pradesh,BJP,59.00%,M,BJP,0.36,Dr. Ram Shankar Katheria,21,Doctorate,14634885,4035000,49,2.59
Ahmadnagar,GEN,Maharashtra,BJP,62.50%,M,BJP,8.78,Gandhi Dilipkumar Mansukhlal,16,10th Pass,65316725,34176876,64,3.99
Ahmedabad East,GEN,Gujarat,BJP,61.50%,M,BJP,7.12,Paresh Rawal,0,12th Pass,795211576,81472461,59,-6.96
Ahmedabad West,SC,Gujarat,BJP,62.90%,M,BJP,7.12,Dr. Kirit P Solanki,0,Post Graduate,34085266,208007,64,-6.96
Ajmer,GEN,Rajasthan,BJP,68.70%,M,INC,3.55,Sanwar Lal Jat,0,Doctorate,18064656,0,59,0.22
Akbarpur,GEN,Uttar Pradesh,BJP,54.90%,M,INC,0.36,Devendra Singh @ Bhole Singh,0,10th Pass,28546617,559965,60,2.59
Akola,GEN,Maharashtra,BJP,59.40%,M,BJP,8.78,Dhotre Sanjay Shamrao,3,Graduate Professional,48501735,6928458,55,3.99
Alappuzha,GEN,Kerala,INC,78.50%,M,INC,18.41,K C Venugopal,0,Post Graduate,12856075,456010,51,4.39
Alathur,SC,Kerala,Communist Party Of India (MARXIST),76.20%,M,CPM,18.41,P.K.Biju,0,Post Graduate,3231047,341749,39,4.39
Aligarh,GEN,Uttar Pradesh,BJP,59.40%,M,BSP,0.36,Satish Kumar,1,10th Pass,52180006,754800,42,2.59
Alipurduars,ST,West Bengal,All India Trinamool Congress,83.20%,M,RSP,8.74,Dasrath Tirkey,0,Graduate,3550353,293909,47,5.38
Allahabad,GEN,Uttar Pradesh,BJP,53.50%,M,SP,0.36,Shyama Charan Gupta,0,Graduate Professional,472851707,0,69,2.59
Almora,SC,Uttarakhand,BJP,52.30%,M,INC,6.3,Ajay Tamta,0,12th Pass,6366653,2757846,41,4.12
Alwar,GEN,Rajasthan,BJP,65.30%,M,INC,3.55,Chand Nath,0,Graduate,199653,0,58,0.22
Amalapuram,SC,Andhra Pradesh,Telugu Desam,82.60%,M,INC,2.44,Dr Pandula Ravindra Babu,0,Graduate Professional,27131000,3.00E+06,58,6.15
Ambala,SC,Haryana,BJP,72.00%,M,INC,3.57,Rattan Lal Kataria,0,Post Graduate,42150634,843229,62,3.18
Ambedkar Nagar,GEN,Uttar Pradesh,BJP,60.20%,M,BSP,0.36,Hari Om Pandey,0,Post Graduate,15318114,0,58,2.59
Amethi,GEN,Uttar Pradesh,INC,52.40%,M,INC,0.36,Rahul Gandhi,0,Post Graduate,94006549,1800000,43,2.59
Amravati,SC,Maharashtra,Shiv Sena,62.30%,M,SHS,8.78,Adsul Anandrao Vithoba,1,Graduate,32596257,1587104,66,3.99
Amreli,GEN,Gujarat,BJP,54.40%,M,BJP,7.12,Kachhadiya Naranbhai Bhikhabhai,2,12th Pass,34164801,4971590,58,-6.96
Amritsar,GEN,Punjab,INC,68.20%,M,BJP,2.55,Captain Amarinder Singh,3,Graduate,863564071,4853456,72,0.44
Amroha,GEN,Uttar Pradesh,BJP,71.00%,M,RLD,0.36,Kanwar Singh Tanwar,0,5th Pass,1788430770,4036151,52,2.59
Anakapalli,GEN,Andhra Pradesh,Telugu Desam,81.90%,M,INC,2.44,Muttamsetti Srinivasa Rao (AVANTHI),1,Others,213294327,64899193,47,6.15
Anand,GEN,Gujarat,BJP,64.90%,M,INC,7.12,Dilip Patel,4,10th Pass,75998610,7632620,59,-6.96
Anandpur Sahib,GEN,Punjab,Shiromani Akali Dal,69.40%,M,INC,2.55,Prem Singh Chandumajra,0,Post Graduate,141599902,2248200,64,0.44
Anantapur,GEN,Andhra Pradesh,Telugu Desam,78.40%,M,INC,2.44,J.C. Divakar Reddi,0,12th Pass,226481020,3265000,70,6.15
Anantnag,GEN,Jammu & Kashmir,Jammu & Kashmir Peoples Democratic Party,28.80%,F,JKN,1.18,Mehbooba Mufti,1,Graduate Professional,5200000,0,54,4.97
Andaman And Nicobar Islands,GEN,Andaman & Nicobar Islands,BJP,70.70%,M,BJP,1.62,Bishnu Pada Ray,1,Graduate,5658980,175115,64,2.52
Aonla,GEN,Uttar Pradesh,BJP,60.20%,M,BJP,0.36,Dharmendra Kumar,0,10th Pass,5364652,0,49,2.59
Arakkonam,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,77.70%,M,DMK,3.11,"Hari, G.",4,Post Graduate,32966706,0,53,7.33
Arambagh,SC,West Bengal,All India Trinamool Congress,85.10%,F,CPM,8.74,Aparupa Poddar (AFRIN ALI),0,Post Graduate,3271869,2.00E+05,28,5.38
Arani,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,80.00%,M,INC,3.11,V.Elumalai,0,Graduate Professional,70492462,25000,58,7.33
Araria,GEN,Bihar,Rashtriya Janata Dal,61.50%,M,BJP,11.53,Tasleem Uddin,4,Literate,42368468,1026919,72,-10.06
Arrah,GEN,Bihar,BJP,48.80%,M,JD(U),11.53,Raj Kumar Singh,0,Graduate Professional,48403293,0,61,-10.06
Aruku,ST,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,71.50%,F,INC,2.44,Kothapalli Geetha,0,Post Graduate,65147467,43261606,43,6.15
Arunachal East,GEN,Arunachal Pradesh,INC,83.50%,M,INC,9.64,Ninong Ering,0,Graduate,88065000,0,55,3.94
Arunachal West,GEN,Arunachal Pradesh,BJP,75.20%,M,INC,9.64,Kiren Rijiju,0,Graduate Professional,12539868,475000,42,3.94
Asansol,GEN,West Bengal,BJP,77.70%,M,CPM,8.74,Babul Supriya Baral (BABUL SUPRIYO),0,Graduate,75289537,14748456,43,5.38
Aska,GEN,Orissa,Biju Janata Dal,63.60%,M,BJD,5.74,Ladu Kishore Swain,0,Graduate,3488390,25000,66,-3.25
Attingal,GEN,Kerala,Communist Party Of India (MARXIST),68.70%,M,CPM,18.41,Dr.A .Sampath,1,Doctorate,17791149,1421392,51,4.39
Aurangabad,GEN,Bihar,BJP,51.20%,M,SHS,11.53,Sushil Kumar Singh,5,Post Graduate,127845854,7321626,62,-10.06
Aurangabad,GEN,Maharashtra,Shiv Sena,61.80%,M,JD(U),8.78,Chandrakant Bhaurao Khaire,8,12th Pass,90614560,20307244,48,3.99
Autonomous District,ST,Assam,INC,77.40%,M,INC,4.28,Biren Singh Engti,0,Post Graduate,35367390,0,74,4.59
Azamgarh,GEN,Uttar Pradesh,Samajwadi Party,56.40%,M,BJP,0.36,Mulayam Singh Yadav,0,Post Graduate,159671544,0,74,2.59
Badaun,GEN,Uttar Pradesh,Samajwadi Party,58.10%,M,SP,0.36,Dharmendra Yadav,0,Post Graduate,24987715,8950291,37,2.59
Bagalkot,GEN,Karnataka,BJP,68.80%,M,BJP,2.12,Gaddigoudar Parvtagouda Chandanagouda,0,Graduate Professional,36362500,9589199,61,1.25
Baghpat,GEN,Uttar Pradesh,BJP,66.70%,M,RLD,0.36,Dr. Satya Pal Singh,0,Doctorate,67402076,352000,58,2.59
Baharampur,GEN,West Bengal,INC,79.40%,M,INC,8.74,Adhir Ranjan Chowdhury,16,10th Pass,81465854,0,58,5.38
Bahraich,SC,Uttar Pradesh,BJP,57.00%,F,INC,0.36,Sadhvi Savitri Bai Foole,8,Graduate,1121491,538145,33,2.59
Balaghat,GEN,Madhya Pradesh,BJP,68.30%,M,BJP,2.15,Bodhsingh Bhagat,0,Graduate,24959436,1393732,58,23.28
Balasore,GEN,Orissa,Biju Janata Dal,76.80%,M,INC,5.74,Rabindra Kumar Jena,0,Post Graduate,570139716,55893020,46,-3.25
Ballia,GEN,Uttar Pradesh,BJP,53.30%,M,SP,0.36,Bharat Singh,3,Graduate,21130089,1102553,62,2.59
Balurghat,GEN,West Bengal,All India Trinamool Congress,84.70%,F,RSP,8.74,Arpita Ghosh,0,Graduate,544790,0,47,5.38
Banaskantha,GEN,Gujarat,BJP,58.50%,M,INC,7.12,Chaudhary Haribhai Parthibhai,0,Graduate,15773564,0,59,-6.96
Banda,GEN,Uttar Pradesh,BJP,53.60%,M,SP,0.36,Bhairon Prasad Mishra,3,12th Pass,50034910,6.00E+05,60,2.59
Bangalore Central,GEN,Karnataka,BJP,55.60%,M,BJP,2.12,P.C. Mohan,2,12th Pass,475796999,261111285,50,1.25
Bangalore North,GEN,Karnataka,BJP,56.50%,M,BJP,2.12,D.V Sadananda Gowda,0,Graduate Professional,98888874,37020152,61,1.25
Bangalore Rural,GEN,Karnataka,INC,66.40%,M,JD(S),2.12,D K Suresh,8,12th Pass,858713138,184854756,47,1.25
Bangalore South,GEN,Karnataka,BJP,55.70%,M,BJP,2.12,Ananth Kumar,0,Graduate Professional,45224706,2883233,54,1.25
Bangaon,SC,West Bengal,All India Trinamool Congress,83.30%,M,AITC,8.74,Kapil Krishna Thakur,0,Graduate,9667890,0,73,5.38
Banka,GEN,Bihar,Rashtriya Janata Dal,58.00%,M,IND,11.53,Jai Prakash Narayan Yadav,2,Post Graduate,27846274,791539,60,-10.06
Bankura,GEN,West Bengal,All India Trinamool Congress,82.20%,F,CPM,8.74,Sreemati Dev Varma (MOON MOON SEN),0,Post Graduate,15314000,1013000,60,5.38
Bansgaon,SC,Uttar Pradesh,BJP,49.90%,M,BJP,0.36,Kamlesh Paswan,0,Graduate,101640625,14568500,38,2.59
Banswara,ST,Rajasthan,BJP,69.20%,M,INC,3.55,Manshankar Ninama,0,8th Pass,4040285,870146,58,0.22
Bapatla,SC,Andhra Pradesh,Telugu Desam,85.00%,M,INC,2.44,Malyadri Sriram,0,Post Graduate,45359744,0,60,6.15
Bara Banki,SC,Uttar Pradesh,BJP,62.10%,F,INC,0.36,Priyanka Singh Rawat,0,Post Graduate,13175500,1450000,28,2.59
Baramati,GEN,Maharashtra,Nationalist Congress Party,58.80%,F,NCP,8.78,Supriya Sule,0,Graduate,1139090851,0,44,3.99
Baramulla,GEN,Jammu & Kashmir,Jammu & Kashmir Peoples Democratic Party,39.10%,M,JKN,1.18,Muzaffar Hussain Baig,0,Post Graduate,200707183,11401285,67,4.97
Barasat,GEN,West Bengal,All India Trinamool Congress,83.90%,F,AITC,8.74,Dr. Kakali Ghoshdostidar,0,Graduate Professional,31254311,1168220,55,5.38
Bardhaman Purba,SC,West Bengal,All India Trinamool Congress,86.20%,M,CPM,8.74,Sunil Kumar Mondal,0,Graduate Professional,11841000,1420000,55,5.38
Bardoli,ST,Gujarat,BJP,74.70%,M,INC,7.12,Vasava Parbhubhai Nagarbhai,1,Others,15909957,1353400,44,-6.96
Bareilly,GEN,Uttar Pradesh,BJP,61.20%,M,INC,0.36,Santosh Kumar Gangwar,0,Graduate Professional,38602862,1777215,64,2.59
Bargarh,GEN,Orissa,Biju Janata Dal,78.50%,M,INC,5.74,Prabhas Kumar Singh,0,Doctorate,5786971,670000,50,-3.25
Barmer,GEN,Rajasthan,BJP,72.70%,M,INC,3.55,Col. Sona Ram,1,Graduate Professional,174678454,5584331,73,0.22
Barpeta,GEN,Assam,All India United Democratic Front,84.30%,M,INC,4.28,Siraj Uddin Ajmal,0,Graduate,670806607,0,67,4.59
Barrackpore,GEN,West Bengal,All India Trinamool Congress,81.70%,M,AITC,8.74,Dinesh Trivedi,0,Post Graduate,53582340,15661349,63,5.38
Basirhat,GEN,West Bengal,All India Trinamool Congress,85.50%,M,AITC,8.74,Idris Ali,9,Graduate Professional,9800277,0,64,5.38
Bastar,ST,Chhattisgarh,BJP,59.30%,M,BJP,6.42,Dinesh Kashyap,1,Post Graduate,16108199,2191216,51,2.28
Basti,GEN,Uttar Pradesh,BJP,56.80%,M,BSP,0.36,Harish Chandra Alias Harish Dwivedi,2,Post Graduate,5350882,860185,40,2.59
Beed,GEN,Maharashtra,BJP,68.70%,M,BJP,8.78,Munde Gopinathrao Pandurang,3,Graduate Professional,380072890,335729817,66,3.99
Begusarai,GEN,Bihar,BJP,60.60%,M,JD(U),11.53,Bhola Singh,0,Doctorate,25248102,0,75,-10.06
Belgaum,GEN,Karnataka,BJP,68.20%,M,BJP,2.12,Angadi Suresh Channabasappa,1,Graduate Professional,417003065,366283849,58,1.25
Bellary,ST,Karnataka,BJP,70.30%,M,BJP,2.12,B. Sreeramulu,8,Graduate,151392844,4050947,43,1.25
Berhampur,GEN,Orissa,Biju Janata Dal,67.90%,M,BJD,5.74,Sidhant Mohapatra,0,Graduate,16462430,1183828,47,-3.25
Betul,ST,Madhya Pradesh,BJP,65.20%,F,BJP,2.15,Jyoti Dhurve,2,Post Graduate,26232000,1.00E+06,47,23.28
Bhadohi,GEN,Uttar Pradesh,BJP,53.50%,M,BSP,0.36,Virendra Singh,0,Graduate,11531458,791186,57,2.59
Bhadrak,SC,Orissa,Biju Janata Dal,73.60%,M,BJD,5.74,Arjun Charan Sethi,0,Post Graduate,6730000,2424000,73,-3.25
Bhagalpur,GEN,Bihar,Rashtriya Janata Dal,57.80%,M,BJP,11.53,Shailesh Kumar Urph Bulo Mandal,1,12th Pass,20216734,0,38,-10.06
Bhandara - Gondiya,GEN,Maharashtra,BJP,72.30%,M,NCP,8.78,Nanabhau Falgunrao Patole,5,Graduate,12738190,0,51,3.99
Bharatpur,SC,Rajasthan,BJP,57.10%,M,INC,3.55,Bahadur Singh,0,Literate,19142363,1333100,56,0.22
Bharuch,GEN,Gujarat,BJP,74.80%,M,BJP,7.12,Vasava Mansukhbhai Dhanjibhai,0,Post Graduate,6571062,639000,56,-6.96
Bhatinda,GEN,Punjab,Shiromani Akali Dal,77.20%,F,,2.55,Harsimrat Kaur Badal,0,10th Pass,1081664910,412634299,,0.44
Bhavnagar,GEN,Gujarat,BJP,57.50%,F,BJP,7.12,Dr. Bharatiben Dhirubhai Shiyal,0,Graduate Professional,7748925,3072058,50,-6.96
Bhilwara,GEN,Rajasthan,BJP,62.90%,M,INC,3.55,Subhash Baheria,0,Graduate,142870042,8665902,57,0.22
Bhind,SC,Madhya Pradesh,BJP,45.60%,M,BJP,2.15,Dr. Bhagirath Prasad,0,Doctorate,21240286,3687610,66,23.28
Bhiwandi,GEN,Maharashtra,BJP,51.60%,M,INC,8.78,Kapil Moreshwar Patil,0,Graduate,363758831,10697367,53,3.99
Bhiwani-Mahendragarh,GEN,Haryana,BJP,69.90%,M,INC,3.57,Dharambir S/o Bhale Ram,0,Graduate,50057200,4530000,59,3.18
Bhongir,GEN,Telangana,Telangana Rashtra Samithi,81.20%,M,INC,2.44,Dr. Boora Narsaiah Goud,0,Post Graduate,202983225,13574088,55,6.15
Bhopal,GEN,Madhya Pradesh,BJP,57.80%,M,BJP,2.15,Alok Sanjar,0,Graduate Professional,14594066,3.00E+05,50,23.28
Bhubaneswar,GEN,Orissa,Biju Janata Dal,58.40%,M,BJD,5.74,Prasanna Kumar Patasani,0,Post Graduate,13557443,9590067,71,-3.25
Bidar,GEN,Karnataka,BJP,59.90%,M,INC,2.12,Bhagwanth Khuba,0,Graduate Professional,56559290,16829000,46,1.25
Bijapur,SC,Karnataka,BJP,59.60%,M,BJP,2.12,Ramesh Jigajinagi,2,Graduate,89429828,5305043,64,1.25
Bijnor,GEN,Uttar Pradesh,BJP,67.90%,M,RLD,0.36,Kunwar Bhartendra,2,Post Graduate,24840646,0,50,2.59
Bikaner,SC,Rajasthan,BJP,58.40%,M,BJP,3.55,Arjun Ram Meghwal,0,Post Graduate,18142863,1216408,60,0.22
Bilaspur,GEN,Chhattisgarh,BJP,63.10%,M,BJP,6.42,Lakhan Lal Sahu,0,Post Graduate,8661133,306357,43,2.28
Birbhum,GEN,West Bengal,All India Trinamool Congress,85.30%,F,AITC,8.74,Satabdi Roy,0,Graduate,54972174,5478944,45,5.38
Bishnupur,SC,West Bengal,All India Trinamool Congress,86.70%,M,CPM,8.74,Khan Saumitra,1,12th Pass,1197255,0,34,5.38
Bolangir,GEN,Orissa,Biju Janata Dal,74.90%,M,BJD,5.74,Kalikesh Narayan Singh Deo,2,Graduate,87955818,24410449,39,-3.25
Bolpur,SC,West Bengal,All India Trinamool Congress,84.80%,M,CPM,8.74,Anupam Hazra,0,Doctorate,4866883,0,32,5.38
Bulandshahr,SC,Uttar Pradesh,BJP,58.20%,M,SP,0.36,Bhola Singh,0,Graduate,12577537,0,38,2.59
Buldhana,GEN,Maharashtra,Shiv Sena,61.30%,M,SHS,8.78,Jadhav Prataprao Ganpatrao,2,12th Pass,36033147,684092,53,3.99
Burdwan - Durgapur,GEN,West Bengal,All India Trinamool Congress,84.10%,F,CPM,8.74,Dr. Mamtaz Sanghamita,0,Post Graduate,107680000,0,68,5.38
Buxar,GEN,Bihar,BJP,54.10%,M,RJD,11.53,Ashwini Kumar Choubey,0,Graduate,22094499,1923552,61,-10.06
Chalakudy,GEN,Kerala,Independent,76.80%,M,INC,18.41,Innocent,0,8th Pass,54474761,1303000,66,4.39
Chamarajanagar,SC,Karnataka,INC,72.80%,M,INC,2.12,R. Dhruvanarayana,0,Post Graduate,31519950,2605818,53,1.25
Chandauli,GEN,Uttar Pradesh,BJP,58.80%,M,SP,0.36,Dr Mahendra Nath Pandey,0,Doctorate,26489505,1114000,57,2.59
Chandigarh,GEN,Chandigarh,BJP,73.70%,F,INC,1.07,Kher Kirron Anupam,0,Post Graduate,335343871,1886187,61,-0.59
Chandni Chowk,GEN,Delhi,BJP,67.80%,M,INC,1.36,Dr. Harsh Vardhan,2,Post Graduate,28229308,1780492,59,3.21
Chandrapur,GEN,Maharashtra,BJP,63.30%,M,BJP,8.78,Ahir Hansraj Gangaram,11,10th Pass,15548000,99500,59,3.99
Chatra,GEN,Jharkhand,BJP,54.30%,M,IND,11.62,Sunil Kumar Singh,0,Post Graduate,174744806,950052,52,8.3
Chelvella,GEN,Telangana,Telangana Rashtra Samithi,60.20%,M,INC,2.44,Konda Vishweshwar Reddy,0,Post Graduate,5286230210,74111133,54,6.15
Chennai Central,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,61.40%,M,DMK,3.11,S.R. Vijayakumar,0,Graduate Professional,13401510,350483,40,7.33
Chennai North,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,64.00%,M,DMK,3.11,Venkatesh Babu .T.G,0,Post Graduate,37038275,804032,53,7.33
Chennai South,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,60.20%,M,ADMK,3.11,Dr. J. Jayavardhan,0,Graduate Professional,33959072,10981100,26,7.33
Chhindwara,GEN,Madhya Pradesh,INC,79.00%,M,INC,2.15,Kamal Nath,0,Graduate,2069080434,51172087,67,23.28
Chhota Udaipur,ST,Gujarat,BJP,71.60%,M,BJP,7.12,Ramsinh Rathwa,0,Post Graduate,39769675,9763903,62,-6.96
Chidambaram,SC,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,79.70%,M,VCK,3.11,"Chandrakasi, M",0,Graduate,7243646,2020472,45,7.33
Chikballapur,GEN,Karnataka,INC,76.20%,M,INC,2.12,M Veerappa Moily,0,Graduate Professional,137366682,39433827,74,1.25
Chikkodi,GEN,Karnataka,INC,74.30%,M,BJP,2.12,Prakash Babanna Hukkeri,0,12th Pass,75717628,3635650,67,1.25
Chitradurga,SC,Karnataka,INC,66.00%,M,BJP,2.12,B.N.Chandrappa,0,Post Graduate,48303759,13800000,58,1.25
Chittoor,SC,Andhra Pradesh,Telugu Desam,82.60%,M,TDP,2.44,Naramalli Sivaprasad,0,Graduate Professional,14878003,0,62,6.15
Chittorgarh,GEN,Rajasthan,BJP,64.50%,M,INC,3.55,Chandra Prakash Joshi,0,Graduate,14134693,687284,38,0.22
Churu,GEN,Rajasthan,BJP,64.50%,M,BJP,3.55,Rahul Kaswan,0,Graduate,25721266,5386104,37,0.22
Coimbatore,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,68.40%,M,CPM,3.11,"Nagarajan, P.",0,Graduate Professional,34306545,2235538,52,7.33
Cooch Behar,SC,West Bengal,All India Trinamool Congress,82.60%,F,AIFB,8.74,Renuka Sinha,0,Graduate Professional,13017282,0,65,5.38
Cuddalore,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,78.90%,M,INC,3.11,Arunmozhithevan.A,9,Graduate Professional,15765250,0,45,7.33
Cuttack,GEN,Orissa,Biju Janata Dal,71.40%,M,BJD,5.74,Bhartruhari Mahatab,0,Post Graduate,88834098,0,56,-3.25
Dadra And Nagar Haveli,GEN,Dadra & Nagar Haveli,BJP,84.10%,M,BJP,,Patel Natubhai Gomanbhai,5,5th Pass,154760217,62286836,41,
Dahod,ST,Gujarat,BJP,63.80%,M,INC,7.12,Jasvantsinh Sumanbhai Bhabhor,0,Graduate Professional,19661231,1741547,47,-6.96
Dakshina Kannada,GEN,Karnataka,BJP,77.10%,M,BJP,2.12,Nalin Kumar Kateel,1,10th Pass,8789001,1493367,48,1.25
Daman And Diu,GEN,Daman & Diu,BJP,78.00%,M,BJP,,Patel Lalubhai Babubhai,0,8th Pass,144931238,1234039,58,
Damoh,GEN,Madhya Pradesh,BJP,55.20%,M,BJP,2.15,Prahalad Singh Patel,0,Graduate Professional,39586235,12429302,54,23.28
Darbhanga,GEN,Bihar,BJP,55.40%,M,BJP,11.53,Kirti Azad,4,Graduate,28531267,431860,55,-10.06
Darjeeling,GEN,West Bengal,BJP,79.50%,M,BJP,8.74,S.S.Ahluwalia,0,Graduate Professional,23377223,443035,63,5.38
Dausa,ST,Rajasthan,BJP,61.10%,M,IND,3.55,Harish Chandra Meena,0,Graduate,60394789,45000,59,0.22
Davanagere,GEN,Karnataka,BJP,73.20%,M,BJP,2.12,G M Siddeshwara,0,10th Pass,232375703,17951455,61,1.25
Deoria,GEN,Uttar Pradesh,BJP,53.80%,M,BSP,0.36,Kalraj Mishra,0,Post Graduate,55048193,0,73,2.59
Dewas,SC,Madhya Pradesh,BJP,70.70%,M,INC,2.15,Manohar Untwal,0,12th Pass,6336490,1448086,47,23.28
Dhanbad,GEN,Jharkhand,BJP,60.50%,M,BJP,11.62,Pashupati Nath Singh,1,Graduate,24248150,0,65,8.3
Dhar,ST,Madhya Pradesh,BJP,64.50%,F,INC,2.15,Savitri Thakur,0,10th Pass,9606464,1582845,35,23.28
Dharmapuri,GEN,Tamil Nadu,Pattali Makkal Katchi,81.10%,M,DMK,3.11,Anbumani Ramadoss,8,Graduate Professional,314378451,41941065,45,7.33
Dharwad,GEN,Karnataka,BJP,65.90%,M,BJP,2.12,Pralhad Joshi,1,Graduate,41979658,6739989,51,1.25
Dhaurahra,GEN,Uttar Pradesh,BJP,68.10%,F,INC,0.36,Rekha,0,12th Pass,10435468,2375000,39,2.59
Dhenkanal,GEN,Orissa,Biju Janata Dal,76.40%,M,BJD,5.74,Tathagata Satpathy,7,Others,35434099,0,57,-3.25
Dhubri,GEN,Assam,All India United Democratic Front,88.20%,M,AUDF,4.28,Badruddin Ajmal,1,Post Graduate,432748134,0,59,4.59
Dhule,GEN,Maharashtra,BJP,58.70%,M,BJP,8.78,Dr. Bhamre Subhash Ramrao,0,Post Graduate,125833320,660757,61,3.99
Diamond Harbour,GEN,West Bengal,All India Trinamool Congress,81.10%,M,AITC,8.74,Abhishek Banerjee,0,Post Graduate,15199272,0,26,5.38
Dibrugarh,GEN,Assam,BJP,79.30%,M,INC,4.28,Rameswar Teli,0,10th Pass,977943,0,43,4.59
Dindigul,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,77.40%,M,INC,3.11,Udhaya Kumar .M,0,Post Graduate,27810000,2800000,45,7.33
Dindori,ST,Maharashtra,BJP,63.40%,M,BJP,8.78,Chavan Harishchandra Deoram,1,Graduate,37240147,881137,62,3.99
Domariyaganj,GEN,Uttar Pradesh,BJP,53.10%,M,INC,0.36,Jagdambika Pal,0,Post Graduate,17822082,4981555,64,2.59
Dum Dum,GEN,West Bengal,All India Trinamool Congress,80.60%,M,AITC,8.74,Saugata Roy,0,Post Graduate,19452010,2500000,66,5.38
Dumka,ST,Jharkhand,Jharkhand Mukti Morcha,72.40%,M,JMM,11.62,Shibu Soren,0,10th Pass,46760684,1479721,68,8.3
Durg,GEN,Chhattisgarh,INC,67.80%,M,BJP,6.42,Tamradhwaj Sahu,0,12th Pass,21002226,1777720,65,2.28
East Delhi,GEN,Delhi,BJP,65.40%,M,INC,1.36,Maheish Girri,1,10th Pass,5216375,4.00E+05,39,3.21
Eluru,GEN,Andhra Pradesh,Telugu Desam,84.20%,M,INC,2.44,Maganti Venkateswara Rao (BABU),2,10th Pass,129394729,55294433,54,6.15
Ernakulam,GEN,Kerala,INC,73.60%,M,INC,18.41,Prof. K.V. Thomas,0,Post Graduate,11848550,522352,67,4.39
Erode,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,76.30%,M,MDMK,3.11,Selvakumara Chinnayan S,0,Post Graduate,47459708,0,55,7.33
Etah,GEN,Uttar Pradesh,BJP,58.70%,M,IND,0.36,Rajveer Singh (RAJU BHAIYA),0,Graduate Professional,251921157,46898091,53,2.59
Etawah,SC,Uttar Pradesh,BJP,55.00%,M,SP,0.36,Ashok Kumar Doharey,0,Graduate,12252688,0,43,2.59
Faizabad,GEN,Uttar Pradesh,BJP,58.80%,M,INC,0.36,Lallu Singh,1,Post Graduate,15127861,3640964,59,2.59
Faridabad,GEN,Haryana,BJP,65.00%,M,INC,3.57,Krishan Pal,0,Graduate Professional,296440144,19707475,57,3.18
Faridkot,SC,Punjab,Aam Aadmi Party,70.90%,M,SAD,2.55,Prof. Sadhu Singh,0,Post Graduate,5879516,70000,72,0.44
Farrukhabad,GEN,Uttar Pradesh,BJP,60.20%,M,INC,0.36,Mukesh Rajput,0,Graduate,26178100,151603,45,2.59
Fatehgarh Sahib,SC,Punjab,Aam Aadmi Party,73.80%,M,INC,2.55,Harinder Singh Khalsa,0,Post Graduate,35588128,6700000,67,0.44
Fatehpur,GEN,Uttar Pradesh,BJP,58.60%,F,SP,0.36,Niranjan Jyoti,1,12th Pass,3763779,176616,47,2.59
Fatehpur Sikri,GEN,Uttar Pradesh,BJP,61.20%,M,BSP,0.36,Babulal,3,12th Pass,73028848,16390000,66,2.59
Ferozpur,GEN,Punjab,Shiromani Akali Dal,72.60%,M,SAD,2.55,Sher Singh Ghubaya,0,10th Pass,96121057,,51,0.44
Firozabad,GEN,Uttar Pradesh,Samajwadi Party,67.50%,M,SP,0.36,Akshay Yadav,0,Graduate,100883304,59377,27,2.59
Gadchiroli-Chimur,ST,Maharashtra,BJP,69.90%,M,INC,8.78,Ashok Mahadeorao Nete,0,12th Pass,12125676,5830550,50,3.99
Gandhinagar,GEN,Gujarat,BJP,65.50%,M,BJP,7.12,L.K.Advani,1,Graduate Professional,75915276,0,86,-6.96
Ganganagar,SC,Rajasthan,BJP,73.10%,M,INC,3.55,Nihalchand,0,Graduate,10861172,1611557,43,0.22
Garhwal,GEN,Uttarakhand,BJP,53.70%,M,INC,6.3,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),0,Graduate Professional,44357368,0,79,4.12
Gauhati,GEN,Assam,BJP,78.60%,F,BJP,4.28,Bijoya Chakravarty,0,Post Graduate,12574493,0,75,4.59
Gautam Buddh Nagar,GEN,Uttar Pradesh,BJP,60.40%,M,BSP,0.36,Dr.Mahesh Sharma,0,Graduate Professional,473797545,40905738,54,2.59
Gaya,SC,Bihar,BJP,53.90%,M,BJP,11.53,Hari Manjhi,1,8th Pass,10184120,2.00E+06,51,-10.06
Ghatal,GEN,West Bengal,All India Trinamool Congress,84.90%,M,CPI,8.74,Adhikari Deepak (DEV),0,10th Pass,152447159,17493227,32,5.38
