Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
RAMKISHUN,Chandauli,SP,10,Graduate Professional,"Rsÿ46,72,785",Rsÿ0
,,,,,~ 46ÿLacs+,~ 
PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rsÿ3,87,29,400",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,"Rsÿ31,97,22,459",Rsÿ0
,,,,,~ 31ÿCrore+,~ 
AHIR HANSARAJ GANGARAM,Chandrapur,BJP,30,10th Pass,"Rsÿ80,84,050","Rsÿ2,62,243"
,,,,,~ 80ÿLacs+,~ 2ÿLacs+
Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,"Rsÿ2,12,77,657",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
RAJENDRAN C,Chennai South,ADMK,0,Graduate Professional,"Rsÿ2,79,66,678",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
Sudini Jaipal Reddy,Chevella,INC,0,Post Graduate,"Rsÿ5,61,50,333","Rsÿ20,42,919"
,,,,,~ 5ÿCrore+,~ 20ÿLacs+
RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,0,10th Pass,"Rsÿ1,05,01,785","Rsÿ66,24,317"
,,,,,~ 1ÿCrore+,~ 66ÿLacs+
"THIRUMAAVALAVAN, THOL",Chidambaram,VCK,2,Post Graduate,"Rsÿ23,47,700","Rsÿ8,81,000"
,,,,,~ 23ÿLacs+,~ 8ÿLacs+
M. Veerappa Moily,Chikkballapur,INC,0,Graduate,"Rsÿ2,93,74,446","Rsÿ10,83,264"
,,,,,~ 2ÿCrore+,~ 10ÿLacs+
KATTI RAMESH VISHWANATH,Chikkodi,BJP,1,12th Pass,"Rsÿ2,83,52,578",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
JANARDHANA SWAMY,Chitradurga,BJP,0,Post Graduate,"Rsÿ2,28,36,000",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,"Rsÿ60,11,000",Rsÿ0
,,,,,~ 60ÿLacs+,~ 
GIRIJA VYAS,Chittorgarh,INC,1,Doctorate,"Rsÿ87,21,354",Rsÿ0
,,,,,~ 87ÿLacs+,~ 
RAM SINGH KASWAN,Churu,BJP,0,Graduate Professional,"Rsÿ2,74,03,097",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,"Rsÿ17,67,722",Rsÿ0
,,,,,~ 17ÿLacs+,~ 
Nripendra Nath Ray,Coochbehar,AIFB,1,Graduate,"Rsÿ11,33,170",Rsÿ0
,,,,,~ 11ÿLacs+,~ 
ALAGIRI S,Cuddalore,INC,0,Graduate,"Rsÿ1,18,66,846","Rsÿ7,81,36,525"
,,,,,~ 1ÿCrore+,~ 7ÿCrore+
Bhartruhari Mahtab,Cuttack,BJD,0,Post Graduate,"Rsÿ5,07,93,831",Rsÿ0
,,,,,~ 5ÿCrore+,~ 
PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP,3,5th Pass,"Rsÿ8,34,94,860","Rsÿ34,26,035"
,,,,,~ 8ÿCrore+,~ 34ÿLacs+
PRABHABEN KISHORESINH TAVIAD,Dahod,INC,0,Graduate Professional,"Rsÿ68,23,687",Rsÿ0
,,,,,~ 68ÿLacs+,~ 
Nalin Kumar Kateel,Dakshina Kannada,BJP,1,10th Pass,"Rsÿ53,91,279","Rsÿ28,44,596"
,,,,,~ 53ÿLacs+,~ 28ÿLacs+
LALUBHAI PATEL,Daman & Diu,BJP,0,10th Pass,"Rsÿ3,68,79,385","Rsÿ21,35,939"
,,,,,~ 3ÿCrore+,~ 21ÿLacs+
SHIVRAJ BHAIYA,Damoh,BJP,0,12th Pass,"Rsÿ89,29,326","Rsÿ2,86,513"
,,,,,~ 89ÿLacs+,~ 2ÿLacs+
KIRTI AZAD,Darbhanga,BJP,3,Graduate,"Rsÿ97,89,047",Rsÿ0
,,,,,~ 97ÿLacs+,~ 
Jaswant Singh,Darjeeling,BJP,0,Graduate,"Rsÿ8,35,71,845","Rsÿ7,44,864"
,,,,,~ 8ÿCrore+,~ 7ÿLacs+
Siddeswara.G.M,Davanagere,BJP,0,10th Pass,"Rsÿ14,02,48,867","Rsÿ42,63,675"
,,,,,~ 14ÿCrore+,~ 42ÿLacs+
GORAKH PRASAD JAISWAL,Deoria,BSP,0,10th Pass,"Rsÿ2,42,17,040",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
SAJJAN SINGH VERMA,Dewas,INC,0,Post Graduate,"Rsÿ2,70,42,325","Rsÿ11,04,525"
,,,,,~ 2ÿCrore+,~ 11ÿLacs+
PASHUPATI NATH SINGH,Dhanbad,BJP,2,Graduate,"Rsÿ39,43,516",Rsÿ0
,,,,,~ 39ÿLacs+,~ 
GAJENDRASINGH RAJUKHEDI,Dhar,INC,0,Graduate Professional,"Rsÿ2,06,53,466",Rsÿ0
,,,,,~ 2ÿCrore+,~ 
THAMARAISELVAN. R,Dharmapuri,DMK,0,Graduate Professional,"Rsÿ38,67,546","Rsÿ4,60,146"
,,,,,~ 38ÿLacs+,~ 4ÿLacs+
Pralhad Joshi,Dharwad,BJP,0,Graduate,"Rsÿ1,44,12,674","Rsÿ31,82,357"
,,,,,~ 1ÿCrore+,~ 31ÿLacs+
KUNWAR JITIN PRASAD,Dhaurahra,INC,0,Post Graduate,"Rsÿ3,26,56,975",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Tathagata Satpathy,Dhenkanal,BJD,13,12th Pass,"Rsÿ55,15,930",Rsÿ0
,,,,,~ 55ÿLacs+,~ 
BADRUDDIN AJMAL,Dhubri,AUDF,0,Literate,"Rsÿ30,35,20,991",Rsÿ0
,,,,,~ 30ÿCrore+,~ 
SONAWANE PRATAP NARAYANRAO,Dhule,BJP,0,Graduate Professional,"Rsÿ14,21,57,029","Rsÿ65,81,693"
,,,,,~ 14ÿCrore+,~ 65ÿLacs+
SOMENDRA NATH MITRA,Diamond Harbour,AITC,0,Graduate Professional,"Rsÿ1,47,30,832","Rsÿ1,57,500"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,0,Graduate,"Rsÿ97,97,014",Rsÿ0
,,,,,~ 97ÿLacs+,~ 
CHITTHAN N S V,Dindigul,INC,0,Graduate,"Rsÿ1,70,35,764",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP,1,Graduate,"Rsÿ85,15,581","Rsÿ15,20,114"
,,,,,~ 85ÿLacs+,~ 15ÿLacs+
JAGDAMBIKA PAL,Domariyaganj,INC,1,Post Graduate,"Rsÿ4,97,20,730","Rsÿ45,66,564"
,,,,,~ 4ÿCrore+,~ 45ÿLacs+
SAUGATA RAY,Dum Dum,AITC,0,Post Graduate,"Rsÿ39,71,408",Rsÿ0
,,,,,~ 39ÿLacs+,~ 
SHIBU SOREN,Dumka,JMM,3,10th Pass,"Rsÿ82,29,419","Rsÿ72,65,635"
,,,,,~ 82ÿLacs+,~ 72ÿLacs+
SAROJ PANDEY,Durg,BJP,0,Post Graduate,"Rsÿ3,79,787","Rsÿ6,67,787"
,,,,,~ 3ÿLacs+,~ 6ÿLacs+
