,Candidate,Constituency..,Party,Criminal.Case,Education,Total.Assets,Liabilities,,,,
111,DAGGUBATI PURANDARESWARI,Bapatla,INC,0,Others,40907640,5212201,,,,
113,KAMLA PRASAD,Bara Banki,BSP,0,Graduate,4699000,5.00E+05,,,,
115,PAWAR SHARADCHANDRA GOVINDRAO,Baramati,NCP,1,10th Pass,44814206,13301,,,,
117,ABDUL RASHID SHAHEEN,Baramulla,JKN,0,Post Graduate,17174843,1056615,,,,
119,Subrata Bose,Barasat,AIFB,0,Graduate,2386568,35700,,,,
121,SANTOSH GANGWAR,Bareilly,BJP,0,Post Graduate,7043413,250154,,,,
123,VIJAY KRISHNA,Barh,RJD,1,Post Graduate,5832524,27725,,,,
125,MANVENDRA SINGH,Barmer,BJP,0,Post Graduate,4656839,73531,,,,
127,A. F. GOLAM OSMANI,Barpeta,INC,0,Graduate Professional,1005000,0,,,,
129,Tarit Baran Topdar,Barrackpore,CPM,0,Post Graduate,9453015,0,,,,
131,Ajay Chakraborty,Basirhat,CPI,0,Graduate Professional,7218672,0,,,,
133,BALIRAM KASHYAP,Bastar,BJP,1,8th Pass,1865382,177442,,,,
135,LAL MANI PRASAD,Basti,BSP,0,Graduate,1071480,0,,,,
137,RAMSWAROOP KOLI,Bayana,BJP,3,8th Pass,1053100,0,,,,
139,RAJIV RANJAN SINGH,Begusarai,JD(U),0,Graduate,6746462,0,,,,
141,ANGADI SURESH CHANABASAPPA,Belgaum,BJP,0,Graduate Professional,47466695,8852490,,,,
143,G. KARUNAKARA REDDY,Bellary,BJP,0,Graduate,10930950,416228,,,,
145,Adhir Ranjan Chowdhury,Berhampore,INC,3,10th Pass,19395174,0,,,,
147,CHANDRA SEKHAR SAHU,Berhampur,INC,0,Graduate Professional,1419000,0,,,,
149,RAGHUNATH JHA,Bettiah,RJD,2,12th Pass,11267189,0,,,,
151,KHANDELWAL VIJAY KUMAR (MUNNI BHAIA),Betul,BJP,0,Graduate Professional,16507774,953983,,,,
153,MIDIYAM BABU RAO,Bhadrachalam,CPM,0,Graduate Professional,542000,130000,,,,
155,SUSHIL KUMAR MODI,Bhagalpur,BJP,3,Post Graduate,3410312,935401,,,,
157,PATLE SHISHUPAL NATTHU,Bhandara,BJP,0,Graduate Professional,1184050,12000,,,,
159,VISHVENDRA SINGH,Bharatpur,BJP,0,12th Pass,87894237,525000,,,,
161,PARAMJIT KAUR GULSHAN,Bhatinda,SAD,0,Post Graduate,6507661,0,,,,
163,RANA RAJENDRASINH GHANASHYAMSINH (RAJUBHAI RANA),Bhavnagar,BJP,0,Graduate Professional,2350613,0,,,,
165,VIJAYENDRAPAL SINGH,Bhilwara,BJP,0,Graduate,23765671,250000,,,,
167,DR. RAMLAKHAN SINGH,Bhind,BJP,1,Graduate Professional,5774939,284945,,,,
169,KULDEEP BISHNOI,Bhiwani,INC,0,Graduate,143724090,21865304,,,,
171,KAILASH JOSHI,Bhopal,BJP,0,10th Pass,2695080,0,,,,
173,PRASANNA KUMAR PATASANI,Bhubaneswar,BJD,0,Post Graduate,4441581,0,,,,
175,RAMCHANDRA VEERAPPA,Bidar,BJP,0,Literate,2480708,816000,,,,
177,BASANAGOUDA R PATIL(YATNAL),Bijapur,BJP,2,Graduate,5603503,1200000,,,,
179,Munshiram S/o Sri Ramcharan Singh,Bijnor,RLD,0,Others,2942225,720000,,,,
181,DHARMENDRA,Bikaner,BJP,0,12th Pass,230326000,5428225,,,,
183,AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,14362110,0,,,,
185,PUNNULAL MOHLE,Bilaspur,BJP,0,12th Pass,3727718,0,,,,
187,RAJA RAM PAL,Bilhaur,BSP,0,Graduate Professional,1471113,2.00E+05,,,,
189,Ram Chandra Dome,Birbhum,CPM,0,Doctorate,409541,2862,,,,
191,KONDAPALLI PYDITHALLI NAIDU,Bobbili,TDP,0,Not Given,1979000,50000,,,,
193,SANGEETA KUMARI SINGH DEO,Bolangir,BJP,0,Graduate,26899686,383762,,,,
195,Chatterjee Somnath,Bolpur,CPM,0,Post Graduate,10551015,0,,,,
197,VASAVA MANSUKHBHAI DHANJIBHAI,Broach,BJP,0,Post Graduate,1583619,0,,,,
199,SALEEM IQBAL SHERVANI,Budaun,SP,0,Graduate,96980000,5940,,,,
201,KALYAN SINGH,Bulandshahr,BJP,0,Graduate Professional,6209253,0,,,,
203,ADSUL ANANDRAO VITHOBA,Buldhana,SHS,2,Graduate,20630019,6111246,,,,
205,KISHANBHAI VESTABHAI PATEL,Bulsar,INC,2,10th Pass,279461,0,,,,
207,Nikhilananda Sar,Burdwan,CPM,0,Graduate Professional,3431414,0,,,,
209,LALMUNI CHAUBEY,Buxar,BJP,0,12th Pass,8431336,0,,,,
211,Md. Salim,Calcutta North East,CPM,0,Post Graduate,3109485,0,,,,
213,Mamata Banerjee,Calcutta South,AITC,0,Post Graduate,375489,0,,,,
215,M. P. VEERENDRA KUMAR,Calicut,JD(S),0,Post Graduate,47621096,4654480,,,,
217,SHAILENDRA KUMAR,Chail,SP,0,12th Pass,9337424,1092000,,,,
219,M. SHIVANNA,Chamarajanagar,JD(S),1,Graduate,942100,10000,,,,
221,KAILASH NATH SINGH YADAV,Chandauli,BSP,0,Graduate,5843089,0,,,,
223,PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,17550052,0,,,,
225,KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,158850000,0,,,,
227,AHIR HANSRAJ GANGARAM,Chandrapur,BJP,16,10th Pass,2653960,0,,,,
229,LALU PRASAD,Chapra,RJD,7,Graduate Professional,8768342,22041400,,,,
231,DHIRENDRA AGARWAL,Chatra,RJD,1,Doctorate,28085948,750000,,,,
233,"MOORTHY, A.K.",Chengalpattu,PMK,0,Post Graduate,3696741,369957,,,,
235,KAMALNATH,Chhindwara,INC,0,Graduate,51839379,0,,,,
237,NARANBHAI RATHWA,Chhota Udaipur,INC,0,Post Graduate,2793000,271125,,,,
239,"PONNUSWAMY, E.",Chidambaram,PMK,0,Post Graduate,420000,318534,,,,
241,R.L. JALAPPA,Chikballapur,INC,0,Graduate,40239308,105000,,,,
243,JIGAJINAGI RAMESH CHANDAPPA,Chikkodi,BJP,0,Graduate,5480600,75000,,,,
245,D. C. SRIKANTAPPA,Chikmagalur,BJP,0,10th Pass,6069785,0,,,,
247,SHIVANKAR MAHADEORAO SUKAJI,Chimur,BJP,0,Post Graduate,4412847,197913,,,,
249,VARKALA RADHAKRISHNAN,Chirayinkil,CPM,0,Graduate Professional,756621,0,,,,
251,N.Y. HANUMANTHAPPA,Chitradurga,INC,0,Post Graduate,6250000,0,,,,
253,D.K. AUDIKESAVULU,Chittoor,TDP,0,Not Given,670576468,0,,,,
255,SHRICHAND KRIPLANI,Chittorgarh,BJP,0,Not Given,2448887,0,,,,
257,RAMSINGH KASWAN,Churu,BJP,0,Graduate Professional,13198438,208154,,,,
259,Prasanta Pradhan,Contai,CPM,0,Post Graduate,1410752,15000,,,,
261,Hiten Barman,Cooch Behar,AIFB,0,12th Pass,546676,279146,,,,
263,VENKATAPATHY. K,Cuddalore,DMK,5,Graduate Professional,3617839,0,,,,
265,Y.S. VIVEKANANDA REDDY,Cuddapah,INC,0,Graduate,36227380,0,,,,
267,BHARTRUHARI MAHTAB,Cuttack,BJD,0,Post Graduate,17843407,169357,,,,
269,DELKAR MOHANBHAI SANJIBHAI,Dadra & Nagar Haveli,BNP,0,12th Pass,28619160,1296271,,,,
271,SHINGADA DAMODAR BARKU,Dahanu,INC,0,10th Pass,8657109,0,,,,
273,PATEL DAHYABHAI VALLABHBHAI,Daman And Diu,INC,1,12th Pass,54787351,6640008,,,,
275,CHANDRABHAN BHAIYA,Damoh,BJP,0,8th Pass,10348557,325874,,,,
277,MD. ALI ASHRAF FATMI,Darbhanga,RJD,0,Post Graduate,2071240,545183,,,,
279,Dawa Narbula,Darjeeling,INC,0,Post Graduate,7065000,2.00E+05,,,,
281,SACHIN PILOT,Dausa,INC,0,Post Graduate,2555000,0,,,,
283,G.M. SIDDESWARA,Davangere,BJP,0,10th Pass,50282989,0,,,,
285,DHARMENDRA PRADHAN,Deogarh,BJP,0,Post Graduate,476756,306250,,,,
287,MOHAN SINGH,Deoria,SP,0,Not Given,8468000,150000,,,,
289,CHANDRA SHEKHAR DUBEY,Dhanbad,INC,0,10th Pass,10250582,323838,,,,
291,VARMA RATILAL KALIDAS,Dhandhuka,BJP,0,Post Graduate,7900277,3881919,,,,
293,CHHATAR SINGH DARBAR,Dhar,BJP,1,Post Graduate,2885302,271133,,,,
295,PRALHAD JOSHI,Dharwad North,BJP,4,Graduate,7760188,32587745,,,,
297,KUNNUR MANJUNATH CHANNAPPA,Dharwad South,BJP,0,Post Graduate,12862400,730000,,,,
299,TATHAGATA SATAPATHY,Dhenkanal,BJD,5,Others,2775930,0,,,,
301,ANWAR HUSSAIN,Dhubri,INC,0,Graduate Professional,558467,225000,,,,
303,CHAURE BAPU HARI,Dhule,INC,1,Graduate,3039824,0,,,,
305,Samik Lahiri,Diamond Harbour,CPM,0,Graduate,232000,0,,,,
307,SARBANANDA SONOWAL,Dibrugarh,AGP,0,Graduate Professional,2038397,758854,,,,
309,"CHITTHAN, N. S. V.",Dindigul,INC,0,Graduate,13247227,875536,,,,
311,KATARA BABUBHAI KHIMABHAI,Dohad,BJP,0,Graduate,7.00E+05,109751,,,,
313,MOHD. MUQUEEM,Domariaganj,BSP,2,10th Pass,4902000,0,,,,
315,Amitava Nandy,Dum Dum,CPM,0,12th Pass,2935137,0,,,,
317,SHIBU SOREN,Dumka,JMM,4,10th Pass,3776022,8013462,,,,
319,TARACHAND SAHU,Durg,BJP,0,Post Graduate,3205175,1060847,,,,
321,Sunil Khan,Durgapur,CPM,0,Graduate,2796700,0,,,,
323,SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,4764901,246779,,,,
325,KAVURU SAMBA SIVA RAO,Eluru,INC,0,Not Given,117898221,191621,,,,
327,ANNASAHEB M. K. PATIL,Erandol,BJP,0,Post Graduate,4492440,944685,,,,
329,DR. SEBASTIAN PAUL,Ernakulam,IND,0,Doctorate,2993000,764304,,,,
331,KU. DEVENDRA SINGH YADAV,Etah,SP,0,Doctorate,117888469,16200,,,,
333,RAGHURAJ SINGH SHAKYA,Etawah,SP,0,Post Graduate,1924170,0,,,,
